posto;periodo;afluencia
1;1;100
1;2;100
1;3;100
1;4;100
1;5;100
1;6;100
1;7;100
1;8;100
1;9;100
1;10;100
1;11;100
1;12;100
1;13;100
1;14;100
1;15;100
1;16;100
1;17;100
1;18;100
1;19;100
1;20;100
1;21;100
1;22;100
1;23;100
1;24;100
1;25;100
1;26;100
1;27;100
1;28;100
1;29;100
1;30;100
1;31;100
1;32;100
1;33;100
1;34;100
1;35;100
1;36;100
1;37;100
1;38;100
1;39;100
1;40;100
1;41;100
1;42;100
1;43;100
1;44;100
1;45;100
1;46;100
1;47;100
1;48;100
4;1;100
4;2;100
4;3;100
4;4;100
4;5;100
4;6;100
4;7;100
4;8;100
4;9;100
4;10;100
4;11;100
4;12;100
4;13;100
4;14;100
4;15;100
4;16;100
4;17;100
4;18;100
4;19;100
4;20;100
4;21;100
4;22;100
4;23;100
4;24;100
4;25;100
4;26;100
4;27;100
4;28;100
4;29;100
4;30;100
4;31;100
4;32;100
4;33;100
4;34;100
4;35;100
4;36;100
4;37;100
4;38;100
4;39;100
4;40;100
4;41;100
4;42;100
4;43;100
4;44;100
4;45;100
4;46;100
4;47;100
4;48;100
5;1;100
5;2;100
5;3;100
5;4;100
5;5;100
5;6;100
5;7;100
5;8;100
5;9;100
5;10;100
5;11;100
5;12;100
5;13;100
5;14;100
5;15;100
5;16;100
5;17;100
5;18;100
5;19;100
5;20;100
5;21;100
5;22;100
5;23;100
5;24;100
5;25;100
5;26;100
5;27;100
5;28;100
5;29;100
5;30;100
5;31;100
5;32;100
5;33;100
5;34;100
5;35;100
5;36;100
5;37;100
5;38;100
5;39;100
5;40;100
5;41;100
5;42;100
5;43;100
5;44;100
5;45;100
5;46;100
5;47;100
5;48;100
6;1;100
6;2;100
6;3;100
6;4;100
6;5;100
6;6;100
6;7;100
6;8;100
6;9;100
6;10;100
6;11;100
6;12;100
6;13;100
6;14;100
6;15;100
6;16;100
6;17;100
6;18;100
6;19;100
6;20;100
6;21;100
6;22;100
6;23;100
6;24;100
6;25;100
6;26;100
6;27;100
6;28;100
6;29;100
6;30;100
6;31;100
6;32;100
6;33;100
6;34;100
6;35;100
6;36;100
6;37;100
6;38;100
6;39;100
6;40;100
6;41;100
6;42;100
6;43;100
6;44;100
6;45;100
6;46;100
6;47;100
6;48;100
