periodo,cmo,submercado
1,3.854941057726238e-18,1
2,3.854941057726238e-18,1
3,3.854941057726238e-18,1
4,3.854941057726238e-18,1
5,3.854941057726238e-18,1
6,3.854941057726238e-18,1
7,3.854941057726238e-18,1
8,3.854941057726238e-18,1
9,3.854941057726238e-18,1
10,3.854941057726238e-18,1
11,3.854941057726238e-18,1
12,3.854941057726238e-18,1
13,3.854941057726238e-18,1
14,3.854941057726238e-18,1
15,3.854941057726238e-18,1
16,3.854941057726238e-18,1
17,3.854941057726238e-18,1
18,3.854941057726238e-18,1
19,3.469446951953614e-18,1
20,0.0,1
21,0.0,1
22,0.0,1
23,0.0,1
24,0.0,1
25,0.0,1
26,0.0,1
27,-0.01111111111111111,1
28,-0.01111111111111111,1
29,0.0,1
30,0.0,1
31,-0.011111111111111112,1
32,0.0,1
33,0.0,1
34,0.0,1
35,-0.01111111111111111,1
36,0.0,1
37,0.0,1
38,0.0,1
39,0.0,1
40,0.0,1
41,0.0,1
42,0.0,1
43,0.0,1
44,0.0,1
45,-0.01111111111111111,1
46,-0.011111111111111112,1
47,-0.011111111111111112,1
48,-0.01111111111111111,1
1,3.854941057726238e-18,2
2,3.854941057726238e-18,2
3,3.854941057726238e-18,2
4,3.854941057726238e-18,2
5,3.854941057726238e-18,2
6,3.854941057726238e-18,2
7,3.854941057726238e-18,2
8,3.854941057726238e-18,2
9,3.854941057726238e-18,2
10,3.854941057726238e-18,2
11,3.854941057726238e-18,2
12,3.854941057726238e-18,2
13,3.854941057726238e-18,2
14,3.854941057726238e-18,2
15,3.854941057726238e-18,2
16,3.854941057726238e-18,2
17,3.854941057726238e-18,2
18,3.854941057726238e-18,2
19,3.469446951953614e-18,2
20,0.0,2
21,0.0,2
22,0.0,2
23,0.0,2
24,0.0,2
25,0.0,2
26,0.0,2
27,-0.01111111111111111,2
28,-0.01111111111111111,2
29,0.0,2
30,0.0,2
31,-0.011111111111111112,2
32,0.0,2
33,0.0,2
34,0.0,2
35,-0.01111111111111111,2
36,0.0,2
37,0.0,2
38,0.0,2
39,0.0,2
40,0.0,2
41,0.0,2
42,0.0,2
43,0.0,2
44,0.0,2
45,-0.01111111111111111,2
46,-0.011111111111111112,2
47,-0.011111111111111112,2
48,-0.01111111111111111,2
