periodo,nome,variavel,valor
0,CAMARGOS,volume armazenado,750.54
0,ITUTINGA,volume armazenado,11.0
0,FUNIL_GRANDE,volume armazenado,304.0
0,FURNAS,volume armazenado,5805.34
1,CAMARGOS,volume armazenado,756.2542020000005
1,ITUTINGA,volume armazenado,11.0
1,FUNIL_GRANDE,volume armazenado,304.0
1,FURNAS,volume armazenado,5733.0
2,CAMARGOS,volume armazenado,651.5059801111134
2,ITUTINGA,volume armazenado,11.0
2,FUNIL_GRANDE,volume armazenado,304.0
2,FURNAS,volume armazenado,5799.195949888887
3,CAMARGOS,volume armazenado,700.3948690000024
3,ITUTINGA,volume armazenado,11.0
3,FUNIL_GRANDE,volume armazenado,304.0
3,FURNAS,volume armazenado,5733.0
4,CAMARGOS,volume armazenado,700.6020840000036
4,ITUTINGA,volume armazenado,11.0
4,FUNIL_GRANDE,volume armazenado,304.0
4,FURNAS,volume armazenado,5733.0
5,CAMARGOS,volume armazenado,715.1839580000051
5,ITUTINGA,volume armazenado,11.0
5,FUNIL_GRANDE,volume armazenado,304.0
5,FURNAS,volume armazenado,5733.0
6,CAMARGOS,volume armazenado,739.0720510000065
6,ITUTINGA,volume armazenado,11.0
6,FUNIL_GRANDE,volume armazenado,304.0
6,FURNAS,volume armazenado,5733.0
7,CAMARGOS,volume armazenado,768.7888500000079
7,ITUTINGA,volume armazenado,11.0
7,FUNIL_GRANDE,volume armazenado,304.0
7,FURNAS,volume armazenado,5733.0
8,CAMARGOS,volume armazenado,792.0
8,ITUTINGA,volume armazenado,11.0
8,FUNIL_GRANDE,volume armazenado,304.0
8,FURNAS,volume armazenado,5741.6315780000095
9,CAMARGOS,volume armazenado,694.2222222222222
9,ITUTINGA,volume armazenado,11.0
9,FUNIL_GRANDE,volume armazenado,304.0
9,FURNAS,volume armazenado,5867.507069777788
10,CAMARGOS,volume armazenado,743.1111111111111
10,ITUTINGA,volume armazenado,11.0
10,FUNIL_GRANDE,volume armazenado,304.0
10,FURNAS,volume armazenado,5841.9994298889
11,CAMARGOS,volume armazenado,792.0
11,ITUTINGA,volume armazenado,11.0
11,FUNIL_GRANDE,volume armazenado,304.0
11,FURNAS,volume armazenado,5800.512125000012
12,CAMARGOS,volume armazenado,792.0
12,ITUTINGA,volume armazenado,11.0
12,FUNIL_GRANDE,volume armazenado,304.0
12,FURNAS,volume armazenado,5782.754536000012
13,CAMARGOS,volume armazenado,680.2257071111242
13,ITUTINGA,volume armazenado,11.0
13,FUNIL_GRANDE,volume armazenado,304.0
13,FURNAS,volume armazenado,5845.192042888888
14,CAMARGOS,volume armazenado,729.1145960000131
14,ITUTINGA,volume armazenado,11.0
14,FUNIL_GRANDE,volume armazenado,304.0
14,FURNAS,volume armazenado,5733.0
15,CAMARGOS,volume armazenado,640.5818740000146
15,ITUTINGA,volume armazenado,11.0
15,FUNIL_GRANDE,volume armazenado,304.0
15,FURNAS,volume armazenado,5733.0
16,CAMARGOS,volume armazenado,528.762486000015
16,ITUTINGA,volume armazenado,11.0
16,FUNIL_GRANDE,volume armazenado,304.0
16,FURNAS,volume armazenado,5733.0
17,CAMARGOS,volume armazenado,189.45812411112786
17,ITUTINGA,volume armazenado,11.0
17,FUNIL_GRANDE,volume armazenado,304.0
17,FURNAS,volume armazenado,5935.987513888887
18,CAMARGOS,volume armazenado,238.34701300001674
18,ITUTINGA,volume armazenado,11.0
18,FUNIL_GRANDE,volume armazenado,304.0
18,FURNAS,volume armazenado,5733.0
19,CAMARGOS,volume armazenado,209.80785355557242
19,ITUTINGA,volume armazenado,11.0
19,FUNIL_GRANDE,volume armazenado,304.0
19,FURNAS,volume armazenado,5733.0
20,CAMARGOS,volume armazenado,258.69674244446134
20,ITUTINGA,volume armazenado,11.0
20,FUNIL_GRANDE,volume armazenado,304.0
20,FURNAS,volume armazenado,5743.379537666667
21,CAMARGOS,volume armazenado,307.58563133335065
21,ITUTINGA,volume armazenado,11.0
21,FUNIL_GRANDE,volume armazenado,304.0
21,FURNAS,volume armazenado,5836.7375643333335
22,CAMARGOS,volume armazenado,356.47452022223956
22,ITUTINGA,volume armazenado,11.0
22,FUNIL_GRANDE,volume armazenado,304.0
22,FURNAS,volume armazenado,6017.776466
23,CAMARGOS,volume armazenado,405.36340911112825
23,ITUTINGA,volume armazenado,11.0
23,FUNIL_GRANDE,volume armazenado,304.0
23,FURNAS,volume armazenado,6291.367576666667
24,CAMARGOS,volume armazenado,454.25229800001716
24,ITUTINGA,volume armazenado,11.0
24,FUNIL_GRANDE,volume armazenado,304.0
24,FURNAS,volume armazenado,6575.551135222223
25,CAMARGOS,volume armazenado,503.1411868889061
25,ITUTINGA,volume armazenado,11.0
25,FUNIL_GRANDE,volume armazenado,304.0
25,FURNAS,volume armazenado,6884.940013777779
26,CAMARGOS,volume armazenado,552.030075777795
26,ITUTINGA,volume armazenado,11.0
26,FUNIL_GRANDE,volume armazenado,304.0
26,FURNAS,volume armazenado,7213.269057333335
27,CAMARGOS,volume armazenado,604.4426358889061
27,ITUTINGA,volume armazenado,11.0
27,FUNIL_GRANDE,volume armazenado,304.0
27,FURNAS,volume armazenado,7527.0787194444465
28,CAMARGOS,volume armazenado,662.0832832222395
28,ITUTINGA,volume armazenado,11.0
28,FUNIL_GRANDE,volume armazenado,304.0
28,FURNAS,volume armazenado,7818.771405444446
29,CAMARGOS,volume armazenado,710.9721721111266
29,ITUTINGA,volume armazenado,11.0
29,FUNIL_GRANDE,volume armazenado,304.0
29,FURNAS,volume armazenado,8117.014146333337
30,CAMARGOS,volume armazenado,759.8610610000155
30,ITUTINGA,volume armazenado,11.0
30,FUNIL_GRANDE,volume armazenado,304.0
30,FURNAS,volume armazenado,8410.526343222225
31,CAMARGOS,volume armazenado,743.1111111111111
31,ITUTINGA,volume armazenado,11.0
31,FUNIL_GRANDE,volume armazenado,304.0
31,FURNAS,volume armazenado,8759.720737555575
32,CAMARGOS,volume armazenado,792.0
32,ITUTINGA,volume armazenado,11.0
32,FUNIL_GRANDE,volume armazenado,304.0
32,FURNAS,volume armazenado,9046.320145444464
33,CAMARGOS,volume armazenado,445.4468253333332
33,ITUTINGA,volume armazenado,11.0
33,FUNIL_GRANDE,volume armazenado,304.0
33,FURNAS,volume armazenado,9730.318597888909
34,CAMARGOS,volume armazenado,494.3357142222221
34,ITUTINGA,volume armazenado,11.0
34,FUNIL_GRANDE,volume armazenado,304.0
34,FURNAS,volume armazenado,10021.409206777798
35,CAMARGOS,volume armazenado,547.5555555555554
35,ITUTINGA,volume armazenado,11.0
35,FUNIL_GRANDE,volume armazenado,304.0
35,FURNAS,volume armazenado,10317.522698777799
36,CAMARGOS,volume armazenado,596.4444444444443
36,ITUTINGA,volume armazenado,11.0
36,FUNIL_GRANDE,volume armazenado,304.0
36,FURNAS,volume armazenado,10615.892150666688
37,CAMARGOS,volume armazenado,645.3333333333333
37,ITUTINGA,volume armazenado,11.0
