periodo,submercado,nome,geracao,status,acionamento,desligamento
1,1,Angra1,0.0,0.0,0.0,0.0
1,1,Termoceara1,0.0,0.0,0.0,0.0
1,1,Termoceara2,0.0,0.0,0.0,0.0
1,1,Termoceara3,0.0,0.0,0.0,0.0
1,1,Termoceara4,0.0,0.0,0.0,0.0
2,1,Angra1,0.0,-0.0,0.0,0.0
2,1,Termoceara1,0.0,0.0,0.0,0.0
2,1,Termoceara2,0.0,0.0,0.0,0.0
2,1,Termoceara3,0.0,0.0,0.0,0.0
2,1,Termoceara4,0.0,0.0,0.0,0.0
3,1,Angra1,0.0,-0.0,0.0,0.0
3,1,Termoceara1,0.0,0.0,0.0,0.0
3,1,Termoceara2,0.0,0.0,0.0,0.0
3,1,Termoceara3,0.0,0.0,0.0,0.0
3,1,Termoceara4,0.0,0.0,0.0,0.0
4,1,Angra1,0.0,0.0,-0.0,0.0
4,1,Termoceara1,0.0,0.0,0.0,0.0
4,1,Termoceara2,0.0,0.0,0.0,0.0
4,1,Termoceara3,0.0,0.0,0.0,0.0
4,1,Termoceara4,0.0,0.0,0.0,0.0
5,1,Angra1,0.0,-0.0,-0.0,0.0
5,1,Termoceara1,0.0,0.0,0.0,0.0
5,1,Termoceara2,0.0,0.0,0.0,0.0
5,1,Termoceara3,0.0,0.0,0.0,0.0
5,1,Termoceara4,0.0,0.0,0.0,0.0
6,1,Angra1,0.0,-0.0,0.0,0.0
6,1,Termoceara1,0.0,0.0,0.0,0.0
6,1,Termoceara2,0.0,0.0,0.0,0.0
6,1,Termoceara3,0.0,0.0,0.0,0.0
6,1,Termoceara4,0.0,0.0,0.0,0.0
7,1,Angra1,0.0,-0.0,0.0,0.0
7,1,Termoceara1,0.0,0.0,0.0,0.0
7,1,Termoceara2,0.0,0.0,0.0,0.0
7,1,Termoceara3,0.0,0.0,0.0,0.0
7,1,Termoceara4,0.0,0.0,0.0,0.0
8,1,Angra1,0.0,-0.0,0.0,0.0
8,1,Termoceara1,0.0,0.0,0.0,0.0
8,1,Termoceara2,0.0,0.0,0.0,0.0
8,1,Termoceara3,0.0,0.0,0.0,0.0
8,1,Termoceara4,0.0,0.0,0.0,0.0
9,1,Angra1,0.0,-0.0,0.0,0.0
9,1,Termoceara1,0.0,0.0,0.0,0.0
9,1,Termoceara2,0.0,0.0,0.0,0.0
9,1,Termoceara3,0.0,0.0,0.0,0.0
9,1,Termoceara4,0.0,0.0,0.0,0.0
10,1,Angra1,0.0,-0.0,0.0,0.0
10,1,Termoceara1,0.0,0.0,0.0,0.0
10,1,Termoceara2,0.0,0.0,0.0,0.0
10,1,Termoceara3,0.0,0.0,0.0,0.0
10,1,Termoceara4,0.0,0.0,0.0,0.0
11,1,Angra1,0.0,-0.0,0.0,0.0
11,1,Termoceara1,0.0,0.0,0.0,0.0
11,1,Termoceara2,0.0,0.0,0.0,0.0
11,1,Termoceara3,0.0,0.0,0.0,0.0
11,1,Termoceara4,0.0,0.0,0.0,0.0
12,1,Angra1,0.0,-0.0,0.0,0.0
12,1,Termoceara1,0.0,0.0,0.0,0.0
12,1,Termoceara2,0.0,0.0,0.0,0.0
12,1,Termoceara3,0.0,0.0,0.0,0.0
12,1,Termoceara4,0.0,0.0,0.0,0.0
13,1,Angra1,0.0,-0.0,0.0,0.0
13,1,Termoceara1,0.0,0.0,0.0,0.0
13,1,Termoceara2,0.0,0.0,0.0,0.0
13,1,Termoceara3,0.0,0.0,0.0,0.0
13,1,Termoceara4,0.0,0.0,0.0,0.0
14,1,Angra1,0.0,0.0,0.0,0.0
14,1,Termoceara1,0.0,0.0,0.0,0.0
14,1,Termoceara2,0.0,0.0,0.0,0.0
14,1,Termoceara3,0.0,0.0,0.0,0.0
14,1,Termoceara4,0.0,0.0,0.0,0.0
15,1,Angra1,0.0,-0.0,0.0,0.0
15,1,Termoceara1,0.0,0.0,0.0,0.0
15,1,Termoceara2,0.0,0.0,0.0,0.0
15,1,Termoceara3,0.0,0.0,0.0,0.0
15,1,Termoceara4,0.0,0.0,0.0,0.0
16,1,Angra1,-3.0919911358583467e-15,-2.5344189638183165e-17,-2.5344189638183165e-17,0.0
16,1,Termoceara1,0.0,0.0,0.0,0.0
16,1,Termoceara2,0.0,0.0,0.0,0.0
16,1,Termoceara3,0.0,0.0,0.0,0.0
16,1,Termoceara4,0.0,0.0,0.0,0.0
17,1,Angra1,-5.372968203294831e-15,-2.5344189638183165e-17,0.0,0.0
17,1,Termoceara1,0.0,0.0,0.0,0.0
17,1,Termoceara2,0.0,0.0,0.0,0.0
17,1,Termoceara3,0.0,0.0,0.0,0.0
17,1,Termoceara4,0.0,0.0,0.0,0.0
18,1,Angra1,-7.653945270731317e-15,-2.5344189638183165e-17,0.0,0.0
18,1,Termoceara1,0.0,0.0,0.0,0.0
18,1,Termoceara2,0.0,0.0,0.0,0.0
18,1,Termoceara3,0.0,0.0,0.0,0.0
18,1,Termoceara4,0.0,0.0,0.0,0.0
19,1,Angra1,122.0,1.0,1.0,0.0
19,1,Termoceara1,0.0,0.0,0.0,0.0
19,1,Termoceara2,0.0,0.0,0.0,0.0
19,1,Termoceara3,0.0,0.0,0.0,0.0
19,1,Termoceara4,0.0,0.0,0.0,0.0
20,1,Angra1,212.0,1.0,-0.0,0.0
20,1,Termoceara1,0.0,0.0,0.0,0.0
20,1,Termoceara2,0.0,0.0,0.0,0.0
20,1,Termoceara3,0.0,0.0,0.0,0.0
20,1,Termoceara4,0.0,0.0,0.0,0.0
21,1,Angra1,302.0,1.0,-0.0,0.0
21,1,Termoceara1,0.0,0.0,0.0,0.0
21,1,Termoceara2,0.0,0.0,0.0,0.0
21,1,Termoceara3,0.0,0.0,0.0,0.0
21,1,Termoceara4,0.0,0.0,0.0,0.0
22,1,Angra1,392.0,1.0,0.0,0.0
22,1,Termoceara1,0.0,0.0,0.0,0.0
22,1,Termoceara2,0.0,0.0,0.0,0.0
