codigo;nome;conjunto_maquinas;unidade_geradora;pmin;pmax;Ton;Toff;status_inicial;ton_toff_inicial;barra;submercado;turbinamento_maximo;produtibilidade
1;CAMARGOS;1;1;2.3;23;5;5;0;200;15;2;107;0.9
1;CAMARGOS;1;2;2.3;23;5;5;0;200;15;2;107;0.9
2;ITUTINGA;1;1;1.25;12.5;5;5;0;200;20;2;58;0.9
2;ITUTINGA;1;2;1.25;12.5;5;5;0;200;20;2;58;0.9
2;ITUTINGA;2;1;1.4;14;5;5;0;200;20;2;65;0.9
2;ITUTINGA;3;1;1.4;14;5;5;0;200;20;2;60;0.9
4;FUNIL_GRANDE;1;1;6;60;5;5;0;200;20;2;191;0.9
4;FUNIL_GRANDE;1;2;6;60;5;5;0;200;20;2;191;0.9
4;FUNIL_GRANDE;1;3;6;60;5;5;0;200;20;2;191;0.9
6;FURNAS;1;1;15.2;152;5;5;0;200;24;2;188;0.9
6;FURNAS;1;2;15.2;152;5;5;0;200;24;2;188;0.9
6;FURNAS;1;3;15.2;152;5;5;0;200;24;2;188;0.9
6;FURNAS;1;4;15.2;152;5;5;0;200;24;2;188;0.9
6;FURNAS;1;5;15.2;152;5;5;0;200;24;2;188;0.9
6;FURNAS;1;6;15.2;152;5;5;0;200;24;2;188;0.9
6;FURNAS;2;1;15.2;152;5;5;0;200;24;2;189;0.9
6;FURNAS;2;2;15.2;152;5;5;0;200;24;2;189;0.9
