periodo,cmo,submercado
1,909.05,1
2,909.05,1
3,909.05,1
4,909.05,1
5,909.05,1
6,909.05,1
7,909.05,1
8,909.05,1
9,909.0500000000001,1
10,909.0500000000001,1
11,909.0500000000001,1
12,909.05,1
13,909.0500000000001,1
14,909.0500000000001,1
15,909.0500000000001,1
16,909.0500000000001,1
17,909.0500000000001,1
18,909.0500000000001,1
19,909.0500000000001,1
20,909.0500000000001,1
21,909.05,1
22,-0.011111111111101005,1
23,-0.011111111111101005,1
24,-0.01111111111106311,1
25,-0.011111111111101005,1
26,-0.011111111111101005,1
27,-0.011111111111101005,1
28,-0.011111111111101005,1
29,909.05,1
30,909.05,1
31,909.05,1
32,909.05,1
33,909.05,1
34,909.05,1
35,909.05,1
36,909.05,1
37,909.05,1
38,909.05,1
39,909.05,1
40,909.05,1
41,909.05,1
42,909.05,1
43,909.05,1
44,909.05,1
45,909.05,1
46,909.05,1
47,909.05,1
48,909.05,1
1,909.05,2
2,909.05,2
3,909.05,2
4,909.05,2
5,909.05,2
6,909.05,2
7,909.05,2
8,909.05,2
9,909.0500000000001,2
10,909.0500000000001,2
11,909.0500000000001,2
12,909.05,2
13,909.0500000000001,2
14,909.0500000000001,2
15,909.0500000000001,2
16,909.0500000000001,2
17,909.0500000000001,2
18,909.0500000000001,2
19,909.0500000000001,2
20,909.0500000000001,2
21,909.05,2
22,-0.011111111111101005,2
23,-0.011111111111101005,2
24,-0.01111111111106311,2
25,-0.011111111111101005,2
26,-0.011111111111101005,2
27,-0.011111111111101005,2
28,-0.011111111111101005,2
29,909.05,2
30,909.05,2
31,909.05,2
32,909.05,2
33,909.05,2
34,909.05,2
35,909.05,2
36,909.05,2
37,909.05,2
38,909.05,2
39,909.05,2
40,909.05,2
41,909.05,2
42,909.05,2
43,909.05,2
44,909.05,2
45,909.05,2
46,909.05,2
47,909.05,2
48,909.05,2
