periodo,nome,variavel,valor
0,CAMARGOS,volume armazenado,750.54
0,ITUTINGA,volume armazenado,11.0
0,FUNIL_GRANDE,volume armazenado,304.0
0,FURNAS,volume armazenado,5805.34
1,CAMARGOS,volume armazenado,602.6170912222252
1,ITUTINGA,volume armazenado,11.0
1,FUNIL_GRANDE,volume armazenado,304.0
1,FURNAS,volume armazenado,5886.637110777776
2,CAMARGOS,volume armazenado,651.5059801111141
2,ITUTINGA,volume armazenado,11.0
2,FUNIL_GRANDE,volume armazenado,304.0
2,FURNAS,volume armazenado,5799.195949888887
3,CAMARGOS,volume armazenado,700.394869000003
3,ITUTINGA,volume armazenado,11.0
3,FUNIL_GRANDE,volume armazenado,304.0
3,FURNAS,volume armazenado,5733.0
4,CAMARGOS,volume armazenado,700.6020840000044
4,ITUTINGA,volume armazenado,11.0
4,FUNIL_GRANDE,volume armazenado,304.0
4,FURNAS,volume armazenado,5733.0
5,CAMARGOS,volume armazenado,715.1839580000058
5,ITUTINGA,volume armazenado,11.0
5,FUNIL_GRANDE,volume armazenado,304.0
5,FURNAS,volume armazenado,5733.0
6,CAMARGOS,volume armazenado,739.0720510000071
6,ITUTINGA,volume armazenado,11.0
6,FUNIL_GRANDE,volume armazenado,304.0
6,FURNAS,volume armazenado,5733.0
7,CAMARGOS,volume armazenado,596.4444444444443
7,ITUTINGA,volume armazenado,11.0
7,FUNIL_GRANDE,volume armazenado,304.0
7,FURNAS,volume armazenado,5905.344405555563
8,CAMARGOS,volume armazenado,645.3333333333333
8,ITUTINGA,volume armazenado,11.0
8,FUNIL_GRANDE,volume armazenado,304.0
8,FURNAS,volume armazenado,5888.298244666676
9,CAMARGOS,volume armazenado,694.2222222222222
9,ITUTINGA,volume armazenado,11.0
9,FUNIL_GRANDE,volume armazenado,304.0
9,FURNAS,volume armazenado,5867.507069777788
10,CAMARGOS,volume armazenado,743.1111111111111
10,ITUTINGA,volume armazenado,11.0
10,FUNIL_GRANDE,volume armazenado,304.0
10,FURNAS,volume armazenado,5841.9994298889
11,CAMARGOS,volume armazenado,792.0
11,ITUTINGA,volume armazenado,11.0
11,FUNIL_GRANDE,volume armazenado,304.0
11,FURNAS,volume armazenado,5800.512125000011
12,CAMARGOS,volume armazenado,792.0
12,ITUTINGA,volume armazenado,11.0
12,FUNIL_GRANDE,volume armazenado,304.0
12,FURNAS,volume armazenado,5782.754536000011
13,CAMARGOS,volume armazenado,792.0
13,ITUTINGA,volume armazenado,11.0
13,FUNIL_GRANDE,volume armazenado,304.0
13,FURNAS,volume armazenado,5733.417750000011
14,CAMARGOS,volume armazenado,729.1145960000113
14,ITUTINGA,volume armazenado,11.0
14,FUNIL_GRANDE,volume armazenado,304.0
14,FURNAS,volume armazenado,5733.0
15,CAMARGOS,volume armazenado,640.5818740000129
15,ITUTINGA,volume armazenado,11.0
15,FUNIL_GRANDE,volume armazenado,304.0
15,FURNAS,volume armazenado,5733.0
16,CAMARGOS,volume armazenado,528.7624860000142
16,ITUTINGA,volume armazenado,11.0
16,FUNIL_GRANDE,volume armazenado,304.0
16,FURNAS,volume armazenado,5733.0
17,CAMARGOS,volume armazenado,120.0
17,ITUTINGA,volume armazenado,11.0
17,FUNIL_GRANDE,volume armazenado,304.0
17,FURNAS,volume armazenado,6005.445638000015
18,CAMARGOS,volume armazenado,168.8888888888889
18,ITUTINGA,volume armazenado,11.0
18,FUNIL_GRANDE,volume armazenado,304.0
18,FURNAS,volume armazenado,5802.458124111127
19,CAMARGOS,volume armazenado,174.25229800001765
19,ITUTINGA,volume armazenado,11.0
19,FUNIL_GRANDE,volume armazenado,304.0
19,FURNAS,volume armazenado,5733.0
20,CAMARGOS,volume armazenado,197.96516900001737
20,ITUTINGA,volume armazenado,11.0
20,FUNIL_GRANDE,volume armazenado,304.0
20,FURNAS,volume armazenado,5733.0
21,CAMARGOS,volume armazenado,246.8540578888986
21,ITUTINGA,volume armazenado,11.0
21,FUNIL_GRANDE,volume armazenado,304.0
21,FURNAS,volume armazenado,5890.8024711111275
22,CAMARGOS,volume armazenado,312.33740400000966
22,ITUTINGA,volume armazenado,11.0
22,FUNIL_GRANDE,volume armazenado,304.0
22,FURNAS,volume armazenado,6225.319125000016
23,CAMARGOS,volume armazenado,370.37295911112074
23,ITUTINGA,volume armazenado,11.0
23,FUNIL_GRANDE,volume armazenado,304.0
23,FURNAS,volume armazenado,6567.283569888905
24,CAMARGOS,volume armazenado,430.1120732222319
24,ITUTINGA,volume armazenado,11.0
24,FUNIL_GRANDE,volume armazenado,304.0
24,FURNAS,volume armazenado,6907.544455777795
25,CAMARGOS,volume armazenado,505.05650733334306
25,ITUTINGA,volume armazenado,11.0
25,FUNIL_GRANDE,volume armazenado,304.0
25,FURNAS,volume armazenado,7232.6000216666835
26,CAMARGOS,volume armazenado,588.9411064444542
26,ITUTINGA,volume armazenado,11.0
26,FUNIL_GRANDE,volume armazenado,304.0
26,FURNAS,volume armazenado,7548.715422555572
27,CAMARGOS,volume armazenado,655.3536665555654
27,ITUTINGA,volume armazenado,11.0
27,FUNIL_GRANDE,volume armazenado,304.0
27,FURNAS,volume armazenado,7882.302862444461
28,CAMARGOS,volume armazenado,706.7720916666766
28,ITUTINGA,volume armazenado,11.0
28,FUNIL_GRANDE,volume armazenado,304.0
28,FURNAS,volume armazenado,8230.88443733335
29,CAMARGOS,volume armazenado,755.6609805555655
29,ITUTINGA,volume armazenado,11.0
29,FUNIL_GRANDE,volume armazenado,304.0
29,FURNAS,volume armazenado,8581.99554844446
30,CAMARGOS,volume armazenado,792.0
30,ITUTINGA,volume armazenado,11.0
30,FUNIL_GRANDE,volume armazenado,304.0
30,FURNAS,volume armazenado,8945.656529000025
31,CAMARGOS,volume armazenado,792.0
31,ITUTINGA,volume armazenado,11.0
31,FUNIL_GRANDE,volume armazenado,304.0
31,FURNAS,volume armazenado,9345.656529000024
32,CAMARGOS,volume armazenado,792.0
32,ITUTINGA,volume armazenado,11.0
32,FUNIL_GRANDE,volume armazenado,304.0
32,FURNAS,volume armazenado,9745.656529000024
33,CAMARGOS,volume armazenado,750.8888888888889
33,ITUTINGA,volume armazenado,11.0
33,FUNIL_GRANDE,volume armazenado,304.0
33,FURNAS,volume armazenado,9679.768473444468
34,CAMARGOS,volume armazenado,709.7777777777778
34,ITUTINGA,volume armazenado,11.0
34,FUNIL_GRANDE,volume armazenado,304.0
34,FURNAS,volume armazenado,9616.414637888913
35,CAMARGOS,volume armazenado,668.6666666666667
35,ITUTINGA,volume armazenado,11.0
35,FUNIL_GRANDE,volume armazenado,304.0
35,FURNAS,volume armazenado,9566.745590333358
36,CAMARGOS,volume armazenado,627.5555555555557
36,ITUTINGA,volume armazenado,11.0
36,FUNIL_GRANDE,volume armazenado,304.0
36,FURNAS,volume armazenado,9510.670597777802
37,CAMARGOS,volume armazenado,586.4444444444446
37,ITUTINGA,volume armazenado,11.0
37,FUNIL_GRANDE,volume armazenado,304.0
