periodo,cmo,submercado
1,909.0500000000003,1
2,909.0500000000003,1
3,909.0500000000003,1
4,909.0500000000003,1
5,909.0500000000003,1
6,909.0500000000003,1
7,909.0500000000003,1
8,909.0500000000003,1
9,909.0500000000003,1
10,909.0500000000003,1
11,909.0500000000003,1
12,909.0500000000003,1
13,909.0500000000002,1
14,909.0500000000003,1
15,909.0500000000003,1
16,909.0500000000003,1
17,909.0500000000003,1
18,909.0500000000001,1
19,909.0500000000003,1
20,909.0500000000003,1
21,909.0499999999998,1
22,-0.011111111111111112,1
23,-0.01111111111074163,1
24,-0.011111111111111112,1
25,-0.01111111111059952,1
26,-0.01111111111073216,1
27,-0.011111111110732158,1
28,-0.011111111110732158,1
29,909.05,1
30,909.05,1
31,909.05,1
32,909.05,1
33,909.0499999999995,1
34,909.05,1
35,909.0500000000001,1
36,909.05,1
37,909.0500000000001,1
38,909.05,1
39,909.05,1
40,909.05,1
41,909.0500000000001,1
42,909.05,1
43,909.05,1
44,909.05,1
45,909.0499999999998,1
46,909.05,1
47,909.05,1
48,909.05,1
1,909.0500000000003,2
2,909.0500000000003,2
3,909.0500000000003,2
4,909.0500000000003,2
5,909.0500000000003,2
6,909.0500000000003,2
7,909.0500000000003,2
8,909.0500000000003,2
9,909.0500000000003,2
10,909.0500000000003,2
11,909.0500000000003,2
12,909.0500000000003,2
13,909.0500000000002,2
14,909.0500000000003,2
15,909.0500000000003,2
16,909.0500000000003,2
17,909.0500000000003,2
18,909.0500000000001,2
19,909.0500000000003,2
20,909.0500000000003,2
21,909.0499999999998,2
22,-0.011111111111111112,2
23,-0.01111111111074163,2
24,-0.011111111111111112,2
25,-0.01111111111059952,2
26,-0.01111111111073216,2
27,-0.011111111110732158,2
28,-0.011111111110732158,2
29,909.05,2
30,909.05,2
31,909.05,2
32,909.05,2
33,909.0499999999995,2
34,909.05,2
35,909.0500000000001,2
36,909.05,2
37,909.0500000000001,2
38,909.05,2
39,909.05,2
40,909.05,2
41,909.0500000000001,2
42,909.05,2
43,909.05,2
44,909.05,2
45,909.0499999999998,2
46,909.05,2
47,909.05,2
48,909.05,2
