periodo,nome,variavel,valor
0,CAMARGOS,volume armazenado,750.54
0,ITUTINGA,volume armazenado,11.0
0,FUNIL_GRANDE,volume armazenado,304.0
0,FURNAS,volume armazenado,5805.34
1,CAMARGOS,volume armazenado,756.2542019999999
1,ITUTINGA,volume armazenado,11.0
1,FUNIL_GRANDE,volume armazenado,304.0
1,FURNAS,volume armazenado,5733.0
2,CAMARGOS,volume armazenado,498.6666666666664
2,ITUTINGA,volume armazenado,11.0
2,FUNIL_GRANDE,volume armazenado,304.0
2,FURNAS,volume armazenado,5952.0352633333305
3,CAMARGOS,volume armazenado,547.5555555555553
3,ITUTINGA,volume armazenado,11.0
3,FUNIL_GRANDE,volume armazenado,304.0
3,FURNAS,volume armazenado,5885.839313444442
4,CAMARGOS,volume armazenado,596.4444444444442
4,ITUTINGA,volume armazenado,11.0
4,FUNIL_GRANDE,volume armazenado,304.0
4,FURNAS,volume armazenado,5837.157639555554
5,CAMARGOS,volume armazenado,645.3333333333331
5,ITUTINGA,volume armazenado,11.0
5,FUNIL_GRANDE,volume armazenado,304.0
5,FURNAS,volume armazenado,5802.850624666666
6,CAMARGOS,volume armazenado,694.222222222222
6,ITUTINGA,volume armazenado,11.0
6,FUNIL_GRANDE,volume armazenado,304.0
6,FURNAS,volume armazenado,5777.8498287777775
7,CAMARGOS,volume armazenado,743.1111111111109
7,ITUTINGA,volume armazenado,11.0
7,FUNIL_GRANDE,volume armazenado,304.0
7,FURNAS,volume armazenado,5758.6777388888895
8,CAMARGOS,volume armazenado,791.9999999999998
8,ITUTINGA,volume armazenado,11.0
8,FUNIL_GRANDE,volume armazenado,304.0
8,FURNAS,volume armazenado,5741.631578000002
9,CAMARGOS,volume armazenado,791.9999999999995
9,ITUTINGA,volume armazenado,11.0
9,FUNIL_GRANDE,volume armazenado,304.0
9,FURNAS,volume armazenado,5769.729292000003
10,CAMARGOS,volume armazenado,235.42915266667092
10,ITUTINGA,volume armazenado,11.0
10,FUNIL_GRANDE,volume armazenado,304.0
10,FURNAS,volume armazenado,6349.681388333328
11,CAMARGOS,volume armazenado,284.31804155555983
11,ITUTINGA,volume armazenado,11.0
11,FUNIL_GRANDE,volume armazenado,304.0
11,FURNAS,volume armazenado,6308.1940834444395
12,CAMARGOS,volume armazenado,333.20693044444874
12,ITUTINGA,volume armazenado,11.0
12,FUNIL_GRANDE,volume armazenado,304.0
12,FURNAS,volume armazenado,6241.547605555551
13,CAMARGOS,volume armazenado,382.0958193333376
13,ITUTINGA,volume armazenado,11.0
13,FUNIL_GRANDE,volume armazenado,304.0
13,FURNAS,volume armazenado,6143.321930666662
14,CAMARGOS,volume armazenado,430.98470822222646
14,ITUTINGA,volume armazenado,11.0
14,FUNIL_GRANDE,volume armazenado,304.0
14,FURNAS,volume armazenado,6031.1298877777745
15,CAMARGOS,volume armazenado,479.87359711111526
15,ITUTINGA,volume armazenado,11.0
15,FUNIL_GRANDE,volume armazenado,304.0
15,FURNAS,volume armazenado,5893.708276888887
16,CAMARGOS,volume armazenado,528.7624860000042
16,ITUTINGA,volume armazenado,11.0
16,FUNIL_GRANDE,volume armazenado,304.0
16,FURNAS,volume armazenado,5733.0
17,CAMARGOS,volume armazenado,392.44563800000384
17,ITUTINGA,volume armazenado,11.0
17,FUNIL_GRANDE,volume armazenado,304.0
17,FURNAS,volume armazenado,5733.0
18,CAMARGOS,volume armazenado,238.34701300000398
18,ITUTINGA,volume armazenado,11.0
18,FUNIL_GRANDE,volume armazenado,304.0
18,FURNAS,volume armazenado,5733.0
19,CAMARGOS,volume armazenado,136.5264106666676
19,ITUTINGA,volume armazenado,11.0
19,FUNIL_GRANDE,volume armazenado,304.0
19,FURNAS,volume armazenado,5770.72588733334
20,CAMARGOS,volume armazenado,185.41529955555578
20,ITUTINGA,volume armazenado,11.0
20,FUNIL_GRANDE,volume armazenado,304.0
20,FURNAS,volume armazenado,5745.549869444453
21,CAMARGOS,volume armazenado,234.30418844444472
21,ITUTINGA,volume armazenado,11.0
21,FUNIL_GRANDE,volume armazenado,304.0
21,FURNAS,volume armazenado,5903.352340555567
22,CAMARGOS,volume armazenado,299.7875345555558
22,ITUTINGA,volume armazenado,11.0
22,FUNIL_GRANDE,volume armazenado,304.0
22,FURNAS,volume armazenado,6237.868994444456
23,CAMARGOS,volume armazenado,357.8230896666669
23,ITUTINGA,volume armazenado,11.0
23,FUNIL_GRANDE,volume armazenado,304.0
23,FURNAS,volume armazenado,6579.833439333345
24,CAMARGOS,volume armazenado,417.56220377777794
24,ITUTINGA,volume armazenado,11.0
24,FUNIL_GRANDE,volume armazenado,304.0
24,FURNAS,volume armazenado,6920.094325222234
25,CAMARGOS,volume armazenado,492.50663788888903
25,ITUTINGA,volume armazenado,11.0
25,FUNIL_GRANDE,volume armazenado,304.0
25,FURNAS,volume armazenado,7245.149891111123
26,CAMARGOS,volume armazenado,576.3912370000002
26,ITUTINGA,volume armazenado,11.0
26,FUNIL_GRANDE,volume armazenado,304.0
26,FURNAS,volume armazenado,7561.265292000012
27,CAMARGOS,volume armazenado,642.8037971111112
27,ITUTINGA,volume armazenado,11.0
27,FUNIL_GRANDE,volume armazenado,304.0
27,FURNAS,volume armazenado,7894.8527318889
28,CAMARGOS,volume armazenado,694.2222222222224
28,ITUTINGA,volume armazenado,11.0
28,FUNIL_GRANDE,volume armazenado,304.0
28,FURNAS,volume armazenado,8243.434306777788
29,CAMARGOS,volume armazenado,743.1111111111113
29,ITUTINGA,volume armazenado,11.0
29,FUNIL_GRANDE,volume armazenado,304.0
29,FURNAS,volume armazenado,8594.545417888892
30,CAMARGOS,volume armazenado,792.0
30,ITUTINGA,volume armazenado,11.0
30,FUNIL_GRANDE,volume armazenado,304.0
30,FURNAS,volume armazenado,8945.656528999996
31,CAMARGOS,volume armazenado,792.0
31,ITUTINGA,volume armazenado,11.0
31,FUNIL_GRANDE,volume armazenado,304.0
31,FURNAS,volume armazenado,9345.656528999998
32,CAMARGOS,volume armazenado,792.0
32,ITUTINGA,volume armazenado,11.0
32,FUNIL_GRANDE,volume armazenado,304.0
32,FURNAS,volume armazenado,9725.589270222217
33,CAMARGOS,volume armazenado,750.8888888888889
33,ITUTINGA,volume armazenado,11.0
33,FUNIL_GRANDE,volume armazenado,304.0
33,FURNAS,volume armazenado,9659.701214666662
34,CAMARGOS,volume armazenado,709.7777777777768
34,ITUTINGA,volume armazenado,11.0
34,FUNIL_GRANDE,volume armazenado,304.0
34,FURNAS,volume armazenado,9596.34737911111
35,CAMARGOS,volume armazenado,668.6666666666657
35,ITUTINGA,volume armazenado,11.0
35,FUNIL_GRANDE,volume armazenado,304.0
35,FURNAS,volume armazenado,9546.678331555555
36,CAMARGOS,volume armazenado,627.5555555555546
36,ITUTINGA,volume armazenado,11.0
36,FUNIL_GRANDE,volume armazenado,304.0
36,FURNAS,volume armazenado,9490.603339
37,CAMARGOS,volume armazenado,586.4444444444435
