periodo,barra_de,barra_para,fluxo
1,1,2,-39.51932676241242
1,1,3,-96.99489971731444
1,1,5,-34.36822812027259
1,2,4,-38.60688431827159
1,2,6,-23.87247564414085
1,3,9,72.77329906327313
1,3,24,-192.72823198058768
1,4,9,-61.56691751827156
1,5,10,-57.32826132027263
1,6,10,-46.832508844140904
1,7,8,-22.960033199999987
1,8,9,-34.64719092569415
1,8,10,-11.272875474305849
1,9,11,-26.30179904117648
1,9,12,-20.099043539516334
1,10,11,-72.29821717018967
1,10,12,-66.09546166852952
1,11,13,-19.029131666956594
1,11,14,-102.53091774440945
1,12,13,-29.962139788580263
1,12,23,-79.19239861946559
1,13,23,-71.95130465553707
1,14,16,-125.49095094440918
1,15,16,164.96762410316458
1,15,21,62.347295716248894
1,15,24,-204.27495301941278
1,16,17,29.492837083751567
1,16,19,-12.976197124997128
1,17,18,0.7910166878986367
1,17,22,5.741787195853722
1,18,21,-22.16901651210272
1,19,20,-35.9362303249969
1,20,23,174.10373647500273
1,21,22,17.218246004146273
2,1,2,-38.448702074219085
2,1,3,-92.57215256918975
2,1,5,-33.538721056590816
2,2,4,-37.31205918013099
2,2,6,-23.273054594088087
2,3,9,68.27359105368946
2,3,24,-182.98215532287927
2,4,9,-59.448470880130984
2,5,10,-55.67513275659088
2,6,10,-45.40946629408815
2,7,8,-22.136411699999986
2,8,9,-33.27070950598103
2,8,10,-11.002113894018962
2,9,11,-25.98933169539771
2,9,12,-20.592669337025065
2,10,11,-69.80989350153521
2,10,12,-64.41323114316256
2,11,13,-19.674296439105216
2,11,14,-98.26134045782761
2,12,13,-29.186480722035157
2,12,23,-77.95583145815249
2,13,23,-70.99718886114057
2,14,16,-120.39775215782736
2,15,16,154.12344803614565
2,15,21,59.318618040979345
2,15,24,-189.5784777771243
2,16,17,29.227028759021103
2,16,19,-17.637744580703725
2,17,18,1.4052022618871405
2,17,22,5.685414797134706
2,18,21,-20.731209438114142
2,19,20,-39.774156280703494
2,20,23,171.08943201929313
2,21,22,16.45099690286529
3,1,2,-37.42135807058942
3,1,3,-89.10795181544955
3,1,5,-32.76489574396058
3,2,4,-36.22165173763024
3,2,6,-22.733712822959184
3,3,9,64.88149170486336
3,3,24,-175.52345001031296
3,4,9,-57.755658227630214
3,5,10,-54.29890223396062
3,6,10,-44.267719312959215
3,7,8,-21.534006489999985
3,8,9,-32.241078424950985
3,8,10,-10.826934555049013
3,9,11,-25.713118806107744
3,9,12,-20.936132631610306
3,10,11,-67.85227438323305
3,10,12,-63.075288208735614
3,11,13,-20.146647477671706
3,11,14,-94.952752201669
3,12,13,-28.566587394485474
3,12,23,-76.97883993586045
3,13,23,-70.24724136215737
3,14,16,-116.48675869166874
3,15,16,145.9244808573484
3,15,21,57.06041105233925
3,15,24,-178.518898399687
3,16,17,29.075614907661183
3,16,19,-21.171899231982437
3,17,18,1.8893043353622723
3,17,22,5.6523040822996355
3,18,21,-19.644702154638956
3,19,20,-42.70590572198218
3,20,23,168.76008778801793
3,21,22,15.88170240770036
4,1,2,-36.90578286422101
4,1,3,-86.43096207974918
4,1,5,-32.349892866029464
4,2,4,-35.49140007809741
4,2,6,-22.41989881612361
4,3,9,62.06502705147652
4,3,24,-169.50150516122574
4,4,9,-56.49691610809738
4,5,10,-53.35540889602949
4,6,10,-43.42541484612366
4,7,8,-21.005516029999985
4,8,9,-31.373875870758418
4,8,10,-10.637156189241567
4,9,11,-25.54606952103795
4,9,12,-21.26521143634156
4,10,11,-66.35217702304547
4,10,12,-62.071318938349066
4,11,13,-20.56029776951749
4,11,14,-92.34346480456584
4,12,13,-28.105759813761757
4,12,23,-76.23628659092887
4,13,23,-69.67157361327943
4,14,16,-113.34898083456561
4,15,16,139.1537860414234
4,15,21,55.147183237351584
4,15,24,-169.30648530877428
4,16,17,28.874880882648835
4,16,19,-24.075591705791922
4,17,18,2.258931276179304
4,17,22,5.610433576470219
4,18,21,-18.746584753821875
4,19,20,-45.081107735791704
4,20,23,166.91337623420839
4,21,22,15.395082453529781
5,1,2,-35.974629952790195
5,1,3,-83.95965142277429
5,1,5,-31.66751074443509
5,2,4,-34.63347100743337
5,2,6,-21.96179030535683
5,3,9,59.7842002689201
5,3,24,-164.36448305169444
5,4,9,-55.25410236743334
5,5,10,-52.28814210443513
5,6,10,-42.58242166535688
5,7,8,-20.620631359999987
5,8,9,-30.690319254494387
5,8,10,-10.5509434655056
5,9,11,-25.31597201818959
5,9,12,-21.464880694818262
5,10,11,-64.9466149593344
5,10,12,-61.095523635963055
5,11,13,-20.862618794821035
5,11,14,-90.02059954270285
5,12,13,-27.650571778662517
5,12,23,-75.53046391211882
5,13,23,-69.13382193348374
5,14,16,-110.6412309027026
5,15,16,133.61455128435733
5,15,21,53.656016343948885
5,15,24,-161.89119898830558
5,16,17,28.826509096051527
5,16,19,-26.473820074397693
5,17,18,2.6074647709778134
5,17,22,5.598412965074383
5,18,21,-18.01316658902333
5,19,20,-47.094451434397456
5,20,23,165.28491720560262
5,21,22,15.02221839492562
6,1,2,-35.77816373243091
6,1,3,-82.57905508413913
6,1,5,-31.499129163429657
6,2,4,-34.284892886047366
6,2,6,-21.82563468638358
6,3,9,58.282979048202336
6,3,24,-161.19439797234153
6,4,9,-54.617256726047344
6,5,10,-51.8314930034297
6,6,10,-42.15799852638362
6,7,8,-20.332363839999985
6,8,9,-30.22523083128243
6,8,10,-10.439496848717566
6,9,11,-25.24139454764233
6,9,12,-21.65047780148531
6,10,11,-64.17613448234387
6,10,12,-60.58521773618683
6,11,13,-21.08808283365253
6,11,14,-88.66181003633358
6,12,13,-27.417450795891508
6,12,23,-75.15060858178063
6,13,23,-68.83789746954422
6,14,16,-108.99417387633333
6,15,16,130.01423311276022
6,15,21,52.62735753489899
6,15,24,-156.97395448765857
6,16,17,28.702097825101404
6,16,19,-28.014402428675396
6,17,18,2.7969770755632446
6,17,22,5.572756909538817
6,18,21,-17.535386764437877
6,19,20,-48.34676626867514
6,20,23,164.32086989132492
6,21,22,14.759606930461185
7,1,2,-35.660750100847636
7,1,3,-81.71739789380007
7,1,5,-31.39746080535199
7,2,4,-34.069439902538576
7,2,6,-21.742582898309056
7,3,9,57.342387195242836
7,3,24,-159.21105778904294
7,4,9,-54.22071260253855
7,5,10,-51.54873350535202
7,6,10,-41.8938555983091
7,7,8,-20.151272699999986
7,8,9,-29.933622040889908
7,8,10,-10.368923359110083
7,9,11,-25.195716957158226
7,9,12,-21.767503191027618
7,10,11,-63.69549946445082
7,10,12,-60.26728569832021
7,11,13,-21.22970892255686
7,11,14,-87.8127801990521
7,12,13,-27.272295791850105
7,12,23,-74.91376579749772
7,13,23,-68.65327741440714
7,14,16,-107.96405289905186
7,15,16,127.75907142236164
7,15,21,51.9822062885961
7,15,24,-153.89255041095709
7,16,17,28.622884511404287
7,16,19,-28.979138688095375
7,17,18,2.9151718764021766
7,17,22,5.556439935002764
7,18,21,-17.23610082359893
7,19,20,-49.13041138809513
7,20,23,163.71831591190494
7,21,22,14.594832764997237
8,1,2,-35.732609838600396
8,1,3,-81.46502435976147
8,1,5,-31.437536461637826
8,2,4,-34.04923363912131
8,2,6,-21.75756637947908
8,3,9,56.99237744458421
8,3,24,-158.53159198434574
8,4,9,-54.123423819121285
8,5,10,-51.51172664163787
8,6,10,-41.83175655947913
8,7,8,-20.074190179999984
8,8,9,-29.82089804011835
8,8,10,-10.327482319881634
8,9,11,-25.200050712441552
8,9,12,-21.826083882214103
8,10,11,-63.55956126561297
8,10,12,-60.185594435385504
8,11,13,-21.289758035711067
8,11,14,-87.54404412234335
8,12,13,-27.23672898226745
8,12,23,-74.84913951533215
8,13,23,-68.60067719797868
8,14,16,-107.61823430234311
8,15,16,126.93253116489726
8,15,21,51.72904129075772
8,15,24,-152.73576263565434
8,16,17,28.56771942924267
8,16,19,-29.327612746689397
8,17,18,2.9480850257827917
8,17,22,5.545444223460528
8,18,21,-17.12610515421831
8,19,20,-49.40180292668915
8,20,23,163.5240068933109
8,21,22,14.528745956539474
9,1,2,-35.87051559980428
9,1,3,-82.05236635922179
9,1,5,-31.54488562097358
9,2,4,-34.2194613333926
9,2,6,-21.835588606411694
9,3,9,57.59293702486305
9,3,24,-159.8298377240849
9,4,9,-54.403995673392586
9,5,10,-51.72941996097363
9,6,10,-42.02012294641173
9,7,8,-20.184534339999985
9,8,9,-30.00479373304271
9,8,10,-10.364274946957284
9,9,11,-25.240834044016648
9,9,12,-21.759552677555803
9,10,11,-63.88981678040166
9,10,12,-60.408535413940804
9,11,13,-21.203333162337376
9,11,14,-88.11185200208084
9,12,13,-27.33945725154043
9,12,23,-75.01316517995619
9,13,23,-68.72732475387798
9,14,16,-108.29638634208061
9,15,16,128.37931811494315
9,15,21,52.13383288097263
9,15,24,-154.6976853359152
9,16,17,28.604304479027768
9,16,19,-28.705907046166068
9,17,18,2.8665896074032204
9,17,22,5.553180531625191
9,18,21,-17.31794473259789
9,19,20,-48.89044138616584
9,20,23,163.92502427383423
9,21,22,14.631353808374811
10,1,2,-36.2045311371829
10,1,3,-82.87860800871964
10,1,5,-31.787952874097044
10,2,4,-34.51546085557843
10,2,6,-21.997147841604452
10,3,9,58.3395731473737
10,3,24,-161.5262587160934
10,4,9,-54.82353841557842
10,5,10,-52.09603043409709
10,6,10,-42.3052254016045
10,7,8,-20.308077559999987
10,8,9,-30.227493979479544
10,8,10,-10.388661140520451
10,9,11,-25.321547552379926
10,9,12,-21.69798925530454
10,10,11,-64.36077641664863
10,10,12,-60.73721811957324
10,11,13,-21.10622413510296
10,11,14,-88.88417739392551
10,12,13,-27.49312625956989
10,12,23,-75.25015867530789
10,13,23,-68.90742795467303
10,14,16,-109.19225495392527
10,15,16,130.19579953284784
10,15,21,52.61866253106382
10,15,24,-157.12253962391105
10,16,17,28.61364770893659
10,16,19,-27.91818069001487
10,17,18,2.749698889489533
10,17,22,5.555871259447711
10,18,21,-17.55837867051159
10,19,20,-48.22625825001463
10,20,23,164.465664189981
10,21,22,14.752206300552292
11,1,2,-37.615034671813135
11,1,3,-85.82847084658484
11,1,5,-32.79907686160158
11,2,4,-35.66025979669017
11,2,6,-22.654600615122973
11,3,9,60.85233844088317
11,3,24,-167.38063502746806
11,4,9,-56.36008553669015
11,5,10,-53.49890260160163
11,6,10,-43.354426355123024
11,7,8,-20.699825739999987
11,8,9,-30.966541893261237
11,8,10,-10.433109586738745
11,9,11,-25.64605348961593
11,9,12,-21.528061239452505
11,10,11,-66.05212826681333
11,10,12,-61.93413601664991
11,11,13,-20.797619865897627
11,11,14,-91.60038763053154
11,12,13,-28.056013769021824
11,12,23,-76.10600922708059
11,13,23,-69.55345937491964
11,14,16,-112.30021337053131
11,15,16,136.34040837529466
11,15,21,54.21787951723797
11,15,24,-165.25811363253197
11,16,17,28.58142344276246
11,16,19,-25.241054178000013
11,17,18,2.3288747134129686
11,17,22,5.5527229893501575
11,18,21,-18.370951026588195
11,19,20,-45.94087991799978
11,20,23,166.3592943420003
11,21,22,15.147102750649843
12,1,2,-39.37061927379372
12,1,3,-90.22179278937377
12,1,5,-34.07807478683199
12,2,4,-37.22590044078844
12,2,6,-23.506081583005276
12,3,9,64.83672479392725
12,3,24,-176.41988033330108
12,4,9,-58.587263190788434
12,5,10,-55.43943753683203
12,6,10,-44.86744433300531
12,7,8,-21.361362749999987
12,8,9,-32.15595006874266
12,8,10,-10.566775431257334
12,9,11,-26.071816320800995
12,9,12,-21.19603489480305
12,10,11,-68.55540073854624
12,10,12,-63.67961931254828
12,11,13,-20.277693611453987
12,11,14,-95.71088619789315
12,12,13,-28.871770536689873
12,12,23,-77.36524642066146
12,13,23,-70.51082689814406
12,14,16,-117.07224894789289
12,15,16,146.03103050950648
12,15,21,56.80819375719304
12,15,24,-178.20058701669888
12,16,17,28.637257242807394
12,16,19,-21.03983843119471
12,17,18,1.7076674671045708
12,17,22,5.568227025703535
12,18,21,-19.65369528289666
