periodo,cmo,submercado
1,0.011111111111111106,1
2,0.011111111111111106,1
3,0.011111111111111106,1
4,0.01111111111111111,1
5,0.01111111111111111,1
6,0.011111111111111113,1
7,0.011111111111111113,1
8,0.011111111111111113,1
9,0.011111111111111113,1
10,0.011111111111111113,1
11,0.011111111111111113,1
12,0.011111111111111113,1
13,0.011111111111111113,1
14,0.011111111111111113,1
15,0.011111111111111113,1
16,0.011111111111111113,1
17,0.011111111111111113,1
18,0.011111111111111112,1
19,0.011111111111111112,1
20,0.011111111111111112,1
21,0.011111111111111112,1
22,0.011111111111111112,1
23,0.011111111111111112,1
24,0.011111111111111112,1
25,0.011111111111111112,1
26,0.0,1
27,0.0,1
28,0.0,1
29,0.0,1
30,0.0,1
31,0.0,1
32,0.0,1
33,0.0,1
34,0.0,1
35,0.0,1
36,0.0,1
37,0.0,1
38,0.0,1
39,0.0,1
40,0.0,1
41,0.0,1
42,0.0,1
43,0.0,1
44,0.0,1
45,0.0,1
46,0.0,1
47,0.0,1
48,0.0,1
1,0.011111111111111106,2
2,0.011111111111111106,2
3,0.011111111111111106,2
4,0.01111111111111111,2
5,0.01111111111111111,2
6,0.011111111111111113,2
7,0.011111111111111113,2
8,0.011111111111111113,2
9,0.011111111111111113,2
10,0.011111111111111113,2
11,0.011111111111111113,2
12,0.011111111111111113,2
13,0.011111111111111113,2
14,0.011111111111111113,2
15,0.011111111111111113,2
16,0.011111111111111113,2
17,0.011111111111111113,2
18,0.011111111111111112,2
19,0.011111111111111112,2
20,0.011111111111111112,2
21,0.011111111111111112,2
22,0.011111111111111112,2
23,0.011111111111111112,2
24,0.011111111111111112,2
25,0.011111111111111112,2
26,0.0,2
27,0.0,2
28,0.0,2
29,0.0,2
30,0.0,2
31,0.0,2
32,0.0,2
33,0.0,2
34,0.0,2
35,0.0,2
36,0.0,2
37,0.0,2
38,0.0,2
39,0.0,2
40,0.0,2
41,0.0,2
42,0.0,2
43,0.0,2
44,0.0,2
45,0.0,2
46,0.0,2
47,0.0,2
48,0.0,2
