periodo,nome,variavel,valor
0,CAMARGOS,volume armazenado,750.54
0,ITUTINGA,volume armazenado,11.0
0,FUNIL_GRANDE,volume armazenado,304.0
0,FURNAS,volume armazenado,5805.34
1,CAMARGOS,volume armazenado,756.2542020000003
1,ITUTINGA,volume armazenado,11.0
1,FUNIL_GRANDE,volume armazenado,304.0
1,FURNAS,volume armazenado,5733.0
2,CAMARGOS,volume armazenado,651.5059801111138
2,ITUTINGA,volume armazenado,11.0
2,FUNIL_GRANDE,volume armazenado,304.0
2,FURNAS,volume armazenado,5799.195949888887
3,CAMARGOS,volume armazenado,700.3948690000027
3,ITUTINGA,volume armazenado,11.0
3,FUNIL_GRANDE,volume armazenado,304.0
3,FURNAS,volume armazenado,5733.0
4,CAMARGOS,volume armazenado,700.602084000003
4,ITUTINGA,volume armazenado,11.0
4,FUNIL_GRANDE,volume armazenado,304.0
4,FURNAS,volume armazenado,5733.0
5,CAMARGOS,volume armazenado,715.183958000003
5,ITUTINGA,volume armazenado,11.0
5,FUNIL_GRANDE,volume armazenado,304.0
5,FURNAS,volume armazenado,5733.0
6,CAMARGOS,volume armazenado,596.4444444444443
6,ITUTINGA,volume armazenado,11.0
6,FUNIL_GRANDE,volume armazenado,304.0
6,FURNAS,volume armazenado,5875.627606555558
7,CAMARGOS,volume armazenado,645.3333333333333
7,ITUTINGA,volume armazenado,11.0
7,FUNIL_GRANDE,volume armazenado,304.0
7,FURNAS,volume armazenado,5856.45551666667
8,CAMARGOS,volume armazenado,694.2222222222222
8,ITUTINGA,volume armazenado,11.0
8,FUNIL_GRANDE,volume armazenado,304.0
8,FURNAS,volume armazenado,5839.4093557777815
9,CAMARGOS,volume armazenado,743.1111111111111
9,ITUTINGA,volume armazenado,11.0
9,FUNIL_GRANDE,volume armazenado,304.0
9,FURNAS,volume armazenado,5818.618180888893
10,CAMARGOS,volume armazenado,792.0
10,ITUTINGA,volume armazenado,11.0
10,FUNIL_GRANDE,volume armazenado,304.0
10,FURNAS,volume armazenado,5793.1105410000055
11,CAMARGOS,volume armazenado,792.0
11,ITUTINGA,volume armazenado,11.0
11,FUNIL_GRANDE,volume armazenado,304.0
11,FURNAS,volume armazenado,5800.512125000006
12,CAMARGOS,volume armazenado,645.3333333333333
12,ITUTINGA,volume armazenado,11.0
12,FUNIL_GRANDE,volume armazenado,304.0
12,FURNAS,volume armazenado,5962.754536000007
13,CAMARGOS,volume armazenado,694.2222222222222
13,ITUTINGA,volume armazenado,11.0
13,FUNIL_GRANDE,volume armazenado,304.0
13,FURNAS,volume armazenado,5897.862194444451
14,CAMARGOS,volume armazenado,743.1111111111111
14,ITUTINGA,volume armazenado,11.0
14,FUNIL_GRANDE,volume armazenado,304.0
14,FURNAS,volume armazenado,5852.336818222229
15,CAMARGOS,volume armazenado,792.0
15,ITUTINGA,volume armazenado,11.0
15,FUNIL_GRANDE,volume armazenado,304.0
15,FURNAS,volume armazenado,5781.581874000008
16,CAMARGOS,volume armazenado,792.0
16,ITUTINGA,volume armazenado,11.0
16,FUNIL_GRANDE,volume armazenado,304.0
16,FURNAS,volume armazenado,5736.429152666675
17,CAMARGOS,volume armazenado,725.7789713333425
17,ITUTINGA,volume armazenado,11.0
17,FUNIL_GRANDE,volume armazenado,304.0
17,FURNAS,volume armazenado,5733.0
18,CAMARGOS,volume armazenado,120.0
18,ITUTINGA,volume armazenado,11.0
18,FUNIL_GRANDE,volume armazenado,304.0
18,FURNAS,volume armazenado,6251.3470130000105
19,CAMARGOS,volume armazenado,168.8888888888889
19,ITUTINGA,volume armazenado,11.0
19,FUNIL_GRANDE,volume armazenado,304.0
19,FURNAS,volume armazenado,6105.030075777788
20,CAMARGOS,volume armazenado,217.7777777777778
20,ITUTINGA,volume armazenado,11.0
20,FUNIL_GRANDE,volume armazenado,304.0
20,FURNAS,volume armazenado,5979.854057888898
21,CAMARGOS,volume armazenado,266.6666666666667
21,ITUTINGA,volume armazenado,11.0
21,FUNIL_GRANDE,volume armazenado,304.0
21,FURNAS,volume armazenado,5837.65652900001
22,CAMARGOS,volume armazenado,120.0
22,ITUTINGA,volume armazenado,11.0
22,FUNIL_GRANDE,volume armazenado,304.0
22,FURNAS,volume armazenado,5912.028764000011
23,CAMARGOS,volume armazenado,120.0
23,ITUTINGA,volume armazenado,11.0
23,FUNIL_GRANDE,volume armazenado,304.0
23,FURNAS,volume armazenado,5832.286541333345
24,CAMARGOS,volume armazenado,168.8888888888889
24,ITUTINGA,volume armazenado,11.0
24,FUNIL_GRANDE,volume armazenado,304.0
24,FURNAS,volume armazenado,5738.692322111119
25,CAMARGOS,volume armazenado,178.4145340000098
25,ITUTINGA,volume armazenado,11.0
25,FUNIL_GRANDE,volume armazenado,304.0
25,FURNAS,volume armazenado,5733.0
26,CAMARGOS,volume armazenado,273.3034228888987
26,ITUTINGA,volume armazenado,11.0
26,FUNIL_GRANDE,volume armazenado,304.0
26,FURNAS,volume armazenado,5738.217932444449
27,CAMARGOS,volume armazenado,368.1923117777876
27,ITUTINGA,volume armazenado,11.0
27,FUNIL_GRANDE,volume armazenado,304.0
27,FURNAS,volume armazenado,5825.963825888894
28,CAMARGOS,volume armazenado,463.0812006666765
28,ITUTINGA,volume armazenado,11.0
28,FUNIL_GRANDE,volume armazenado,304.0
28,FURNAS,volume armazenado,6065.382251000005
29,CAMARGOS,volume armazenado,557.9700895555654
29,ITUTINGA,volume armazenado,11.0
29,FUNIL_GRANDE,volume armazenado,304.0
29,FURNAS,volume armazenado,6346.069436333339
30,CAMARGOS,volume armazenado,652.8589784444544
30,ITUTINGA,volume armazenado,11.0
30,FUNIL_GRANDE,volume armazenado,304.0
30,FURNAS,volume armazenado,6622.026077666672
31,CAMARGOS,volume armazenado,733.1783698888889
31,ITUTINGA,volume armazenado,11.0
31,FUNIL_GRANDE,volume armazenado,304.0
31,FURNAS,volume armazenado,6923.545647888914
32,CAMARGOS,volume armazenado,792.0
32,ITUTINGA,volume armazenado,11.0
32,FUNIL_GRANDE,volume armazenado,304.0
32,FURNAS,volume armazenado,7264.724017777803
33,CAMARGOS,volume armazenado,768.9262037037031
33,ITUTINGA,volume armazenado,11.0
33,FUNIL_GRANDE,volume armazenado,304.0
33,FURNAS,volume armazenado,7158.908925185213
34,CAMARGOS,volume armazenado,746.6971474074072
34,ITUTINGA,volume armazenado,11.0
34,FUNIL_GRANDE,volume armazenado,304.0
34,FURNAS,volume armazenado,7052.249092592619
35,CAMARGOS,volume armazenado,751.5860362962961
35,ITUTINGA,volume armazenado,11.0
35,FUNIL_GRANDE,volume armazenado,304.0
35,FURNAS,volume armazenado,6850.802267259285
36,CAMARGOS,volume armazenado,756.474925185185
36,ITUTINGA,volume armazenado,11.0
36,FUNIL_GRANDE,volume armazenado,304.0
36,FURNAS,volume armazenado,6642.949496925951
37,CAMARGOS,volume armazenado,761.363814074074
37,ITUTINGA,volume armazenado,11.0
