periodo,submercado,nome,geracao,status,acionamento,desligamento
1,1,Termorio_Unidade6,0.0,-0.0,0.0,0.0
1,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
2,1,Termorio_Unidade6,0.0,-0.0,0.0,0.0
2,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
3,1,Termorio_Unidade6,0.0,0.0,0.0,0.0
3,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
4,1,Termorio_Unidade6,0.0,-0.0,-0.0,0.0
4,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
5,1,Termorio_Unidade6,0.0,-0.0,0.0,0.0
5,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
6,1,Termorio_Unidade6,0.0,-0.0,0.0,0.0
6,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
7,1,Termorio_Unidade6,0.0,-0.0,0.0,0.0
7,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
8,1,Termorio_Unidade6,0.0,-0.0,0.0,0.0
8,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
9,1,Termorio_Unidade6,0.0,-0.0,0.0,0.0
9,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
10,1,Termorio_Unidade6,0.0,-0.0,0.0,0.0
10,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
11,1,Termorio_Unidade6,0.0,-0.0,0.0,0.0
11,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
12,1,Termorio_Unidade6,30.0,1.0,1.0,0.0
12,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
13,1,Termorio_Unidade6,30.0,1.0,0.0,0.0
13,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
14,1,Termorio_Unidade6,60.0,1.0,0.0,0.0
14,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
15,1,Termorio_Unidade6,60.0,1.0,0.0,0.0
15,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
16,1,Termorio_Unidade6,60.0,1.0,0.0,0.0
16,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
17,1,Termorio_Unidade6,60.0,1.0,0.0,0.0
17,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
18,1,Termorio_Unidade6,60.0,1.0,0.0,0.0
18,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
19,1,Termorio_Unidade6,60.0,1.0,0.0,0.0
19,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
20,1,Termorio_Unidade6,90.0,1.0,0.0,0.0
20,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
21,1,Termorio_Unidade6,90.0,1.0,0.0,0.0
21,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
22,1,Termorio_Unidade6,120.0,1.0,0.0,0.0
22,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
23,1,Termorio_Unidade6,120.0,1.0,0.0,0.0
23,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
24,1,Termorio_Unidade6,150.0,1.0,0.0,0.0
24,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
25,1,Termorio_Unidade6,180.0,1.0,0.0,0.0
25,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
26,1,Termorio_Unidade6,300.0,1.0,0.0,0.0
26,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
27,1,Termorio_Unidade6,390.0,1.0,0.0,0.0
27,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
28,1,Termorio_Unidade6,540.0,1.0,0.0,0.0
28,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
29,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
29,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
30,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
30,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
31,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
31,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
32,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
32,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
33,1,Termorio_Unidade6,587.0,1.0,-0.0,0.0
33,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
34,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
34,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
35,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
35,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
36,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
36,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
37,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
37,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
38,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
38,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
39,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
39,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
40,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
40,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
41,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
41,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
42,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
42,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
43,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
43,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
44,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
44,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
45,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
45,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
46,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
46,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
47,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
47,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
48,1,Termorio_Unidade6,587.0,1.0,0.0,0.0
48,1,Termomacae_Unidade14,0.0,0.0,0.0,0.0
