periodo,nome,variavel,valor
0,FURNAS,volume armazenado,20950.0
0,TUCURUI,volume armazenado,48275.0
1,FURNAS,volume armazenado,21037.37542440737
1,TUCURUI,volume armazenado,47482.212432257125
2,FURNAS,volume armazenado,21214.0495294095
2,TUCURUI,volume armazenado,46963.84438700842
3,FURNAS,volume armazenado,21390.957010411632
3,TUCURUI,volume armazenado,46744.76710035885
4,FURNAS,volume armazenado,21567.810635413764
4,TUCURUI,volume armazenado,46546.99883521194
5,FURNAS,volume armazenado,21744.502692415896
5,TUCURUI,volume armazenado,46355.59436669518
6,FURNAS,volume armazenado,21938.150916415896
6,TUCURUI,volume armazenado,46126.0114546631
7,FURNAS,volume armazenado,22114.160797418026
7,TUCURUI,volume armazenado,45945.262139452396
8,FURNAS,volume armazenado,22289.955254420158
8,TUCURUI,volume armazenado,45860.32961991762
9,FURNAS,volume armazenado,22465.40862342229
9,TUCURUI,volume armazenado,45796.6611660025
10,FURNAS,volume armazenado,22640.73632842442
10,TUCURUI,volume armazenado,45665.09406450797
11,FURNAS,volume armazenado,22816.31536142655
11,TUCURUI,volume armazenado,45468.38853197067
12,FURNAS,volume armazenado,22867.109891872133
12,TUCURUI,volume armazenado,45397.08790791298
13,FURNAS,volume armazenado,22882.687197893443
13,TUCURUI,volume armazenado,45350.717290230365
14,FURNAS,volume armazenado,22897.313047914755
14,TUCURUI,volume armazenado,45299.116951726086
15,FURNAS,volume armazenado,22911.077201936067
15,TUCURUI,volume armazenado,45253.69815591757
16,FURNAS,volume armazenado,22924.338699957378
16,TUCURUI,volume armazenado,45188.498756149274
17,FURNAS,volume armazenado,22937.09754197869
17,TUCURUI,volume armazenado,45066.01637938925
18,FURNAS,volume armazenado,22950.0
18,TUCURUI,volume armazenado,44823.69606513055
19,FURNAS,volume armazenado,22950.0
19,TUCURUI,volume armazenado,44466.09274715538
20,FURNAS,volume armazenado,22950.0
20,TUCURUI,volume armazenado,44117.0406042235
21,FURNAS,volume armazenado,22929.001578260737
21,TUCURUI,volume armazenado,43846.93527427898
22,FURNAS,volume armazenado,22950.0
22,TUCURUI,volume armazenado,43579.41452428683
23,FURNAS,volume armazenado,22783.772372042622
23,TUCURUI,volume armazenado,43655.076044794965
24,FURNAS,volume armazenado,22616.718952085244
24,TUCURUI,volume armazenado,43804.40851729952
25,FURNAS,volume armazenado,22449.037212127867
25,TUCURUI,volume armazenado,43984.25105401435
26,FURNAS,volume armazenado,22280.906672170488
26,TUCURUI,volume armazenado,44236.3504125565
27,FURNAS,volume armazenado,22289.5904101918
27,TUCURUI,volume armazenado,44292.02393735606
