periodo,submercado,nome,geracao
1,1,FURNAS,0.0
1,1,FURNAS,91.45646901999999
1,1,TUCURUI,0.0
1,1,TUCURUI,350.0
1,1,TUCURUI,390.0
2,1,FURNAS,0.0
2,1,FURNAS,15.2
2,1,TUCURUI,2.25
2,1,TUCURUI,180.66271563999987
2,1,TUCURUI,390.0
3,1,FURNAS,0.0
3,1,FURNAS,15.2
3,1,TUCURUI,2.25
3,1,TUCURUI,349.2232928099984
3,1,TUCURUI,39.0
4,1,FURNAS,0.0
4,1,FURNAS,15.2
4,1,TUCURUI,2.25
4,1,TUCURUI,35.000000000042284
4,1,TUCURUI,340.14095347000693
5,1,FURNAS,0.0
5,1,FURNAS,15.2
5,1,TUCURUI,22.5
5,1,TUCURUI,311.79212146
5,1,TUCURUI,39.0
6,1,FURNAS,0.0
6,1,FURNAS,0.0
6,1,TUCURUI,22.5
6,1,TUCURUI,334.08581047999996
6,1,TUCURUI,39.0
7,1,FURNAS,15.2
7,1,FURNAS,0.0
7,1,TUCURUI,22.5
7,1,TUCURUI,0.0
7,1,TUCURUI,343.38635409000005
8,1,FURNAS,15.2
8,1,FURNAS,0.0
8,1,TUCURUI,22.5
8,1,TUCURUI,0.0
8,1,TUCURUI,284.59640521999984
9,1,FURNAS,15.2
9,1,FURNAS,0.0
9,1,TUCURUI,22.5
9,1,TUCURUI,0.0
9,1,TUCURUI,271.16268620999995
10,1,FURNAS,15.2
10,1,FURNAS,0.0
10,1,TUCURUI,22.5
10,1,TUCURUI,0.0
10,1,TUCURUI,312.45592704
11,1,FURNAS,15.2
11,1,FURNAS,0.0
11,1,TUCURUI,22.5
11,1,TUCURUI,0.0
11,1,TUCURUI,352.56099102999997
12,1,FURNAS,122.2204849265377
12,1,FURNAS,0.0
12,1,TUCURUI,22.5
12,1,TUCURUI,0.0
12,1,TUCURUI,276.0359882934622
13,1,FURNAS,152.0
13,1,FURNAS,0.0
13,1,TUCURUI,22.5
13,1,TUCURUI,0.0
13,1,TUCURUI,260.17442754399997
14,1,FURNAS,152.0
14,1,FURNAS,0.0
14,1,TUCURUI,0.0
14,1,TUCURUI,0.0
14,1,TUCURUI,284.612826561
15,1,FURNAS,152.0
15,1,FURNAS,0.0
15,1,TUCURUI,0.0
15,1,TUCURUI,0.0
15,1,TUCURUI,279.70188150700005
16,1,FURNAS,152.0
16,1,FURNAS,0.0
16,1,TUCURUI,0.0
16,1,TUCURUI,0.0
16,1,TUCURUI,291.11698512
17,1,FURNAS,152.0
17,1,FURNAS,0.0
17,1,TUCURUI,0.0
17,1,TUCURUI,286.43107332499994
17,1,TUCURUI,39.0
18,1,FURNAS,152.0
18,1,FURNAS,0.0
18,1,TUCURUI,0.0
18,1,TUCURUI,350.0
18,1,TUCURUI,48.79364686300005
19,1,FURNAS,15.2
19,1,FURNAS,147.26222578615435
19,1,TUCURUI,0.0
19,1,TUCURUI,350.0
19,1,TUCURUI,118.26216114284568
20,1,FURNAS,15.2
20,1,FURNAS,147.29300972282655
20,1,TUCURUI,22.5
20,1,TUCURUI,350.0
20,1,TUCURUI,90.58815921717337
21,1,FURNAS,28.204519683851828
21,1,FURNAS,152.0
21,1,TUCURUI,22.5
21,1,TUCURUI,350.0
21,1,TUCURUI,41.933299846148316
22,1,FURNAS,15.2
22,1,FURNAS,128.76572543999987
22,1,TUCURUI,22.5
22,1,TUCURUI,0.0
22,1,TUCURUI,390.0
23,1,FURNAS,152.0
23,1,FURNAS,152.0
23,1,TUCURUI,22.5
23,1,TUCURUI,0.0
23,1,TUCURUI,179.69491964000008
24,1,FURNAS,152.0
24,1,FURNAS,152.0
24,1,TUCURUI,22.5
24,1,TUCURUI,1.0978957476546208e-14
24,1,TUCURUI,133.62223081000002
25,1,FURNAS,152.0
25,1,FURNAS,152.0
25,1,TUCURUI,22.5
25,1,TUCURUI,0.0
25,1,TUCURUI,114.16406655000003
26,1,FURNAS,152.0
26,1,FURNAS,152.0
26,1,TUCURUI,22.5
26,1,TUCURUI,0.0
26,1,TUCURUI,69.45206095000003
27,1,FURNAS,152.0
27,1,FURNAS,0.0
27,1,TUCURUI,22.5
27,1,TUCURUI,0.0
27,1,TUCURUI,188.77426361999994
