periodo,barra_de,barra_para,fluxo
1,1,2,-8.912343514657607
1,1,3,-58.92216459792962
1,1,5,9.924029492586442
1,2,4,-1.2774284866289065
1,2,6,0.8817095019714429
1,3,9,50.369523763311264
1,3,24,-167.20216704124078
1,4,9,-59.18790716662893
1,5,10,-47.9864491874136
1,6,10,-57.028769178028654
1,7,8,-31.31591341
1,8,9,-53.87136989561681
1,8,10,-35.355022194383
1,9,11,-74.56842796655626
1,9,12,-46.03180401237849
1,10,11,-113.40867159700139
1,10,12,-84.87204764282362
1,11,13,14.773031522031594
1,11,14,-152.75013108558971
1,12,13,-34.34738675974987
1,12,23,-86.55646489545211
1,13,23,-77.48483391771772
1,14,16,-210.66060976558964
1,15,16,233.0115921366197
1,15,21,-458.12423785786143
1,15,24,167.20216704124073
1,16,17,-315.4217524821387
1,16,19,279.8622561731703
1,17,18,-274.9930141679378
1,17,22,-40.42873831419831
1,18,21,-241.44702382794236
1,19,20,221.95177749317008
1,20,23,164.04129881316985
1,21,22,40.42873831419876
2,1,2,-16.39689651300344
2,1,3,-42.878471470847245
2,1,5,4.375766503850272
2,2,4,-2.005799098534567
2,2,6,-2.1857705644688252
2,3,9,22.286694216549268
2,3,24,-120.06476965739643
2,4,9,-56.905403068534596
2,5,10,-50.52383746614973
2,6,10,-57.0853745344689
2,7,8,-26.823985430000008
2,8,9,-47.88654523217817
2,8,10,-33.837044167821674
2,9,11,-90.32951080475252
2,9,12,-47.075347249411166
2,10,11,-119.80001184689075
2,10,12,-76.5458482915494
2,11,13,46.745506486529166
2,11,14,-56.87502913817275
2,12,13,-27.708381600533812
2,12,23,-45.912813940426574
2,13,23,-35.86247908400425
2,14,16,-111.77463310817272
2,15,16,152.29868869245115
2,15,21,-327.26306231984825
2,15,24,120.06476965739645
2,16,17,-205.95004935015174
2,16,19,191.57450096443108
2,17,18,-175.5587864349577
2,17,22,-30.391262915192275
2,18,21,-215.25839040496095
2,19,20,136.6748969944312
2,20,23,81.775293024431
2,21,22,30.391262915192645
3,1,2,-21.22272773478926
3,1,3,-30.75668607718545
3,1,5,-0.935031488025686
3,2,4,-3.378750305931767
3,2,6,-5.348064938857448
3,3,9,-0.6850838318710881
