USIH;Nome;SegFPHA;Fcorrec;QlatpM;Rhs;Varm;Qtur;Qlat
6;FURNAS;1;0.99128;0;0;0.013745;0.703017;-0.004755
6;FURNAS;2;0.99128;0;0;0.011454;0.716605;-0.005661
6;FURNAS;3;0.99128;0;0;0.006398;0.761561;-0.00554
6;FURNAS;4;0.99128;0;0;0.003141;0.800184;-0.005368
6;FURNAS;5;0.99128;0;0;0.000673;0.83919;-0.004802
6;FURNAS;6;0.99128;0;0;0.000412;0.845376;-0.003889
6;FURNAS;7;0.99128;0;0;0;0.864938;-0.001476
6;FURNAS;8;0.99128;0;0.6056;0.013956;0.701349;-0.005963
6;FURNAS;9;0.99128;0;7.1013;0.018484;0.683456;-0.005197
6;FURNAS;10;0.99128;0;11.5928;0.019527;0.677269;-0.005812
6;FURNAS;11;0.99128;0;12.3194;0.019584;0.676602;-0.006754
275;TUCURUI;1;0.9869;0;0;0.063987;0.41577;-0.015802
275;TUCURUI;2;0.9869;0;0;0.049126;0.438532;-0.024998
275;TUCURUI;3;0.9869;0;0;0.041667;0.455669;-0.023969
275;TUCURUI;4;0.9869;0;0;0.010715;0.550482;-0.022331
275;TUCURUI;5;0.9869;0;0;0.005769;0.570684;-0.016224
275;TUCURUI;6;0.9869;0;0;0.002069;0.593353;-0.0103
275;TUCURUI;7;0.9869;0;0;0;0.618706;-0.002897
275;TUCURUI;8;0.9869;0;12.5223;0.065915;0.411834;-0.027184
275;TUCURUI;9;0.9869;0;80.6574;0.086889;0.390417;-0.020432
275;TUCURUI;10;0.9869;0;224.9003;0.10169;0.367747;-0.026152
275;TUCURUI;11;0.9869;0;417.7042;0.108285;0.347546;-0.031188
