posto;periodo;afluencia
6;1;194.043168
6;2;194.402208
6;3;194.635584
6;4;194.581728
6;5;194.42016
6;6;193.648224
6;7;193.737984
6;8;193.52256
6;9;193.181472
6;10;193.055808
6;11;193.307136
6;12;193.34304
6;13;192.858336
6;14;191.90688
6;15;191.045184
6;16;190.542528
6;17;190.039872
6;18;190.183488
6;19;189.48336
6;20;189.519264
6;21;189.178176
6;22;188.908896
6;23;188.334432
6;24;187.50864
6;25;186.88032
6;26;186.43152
6;27;185.964768
6;28;185.192832
6;29;184.654272
6;30;184.223424
6;31;184.295232
6;32;183.182208
6;33;182.966784
6;34;182.374368
6;35;181.548576
6;36;181.387008
6;37;181.566528
6;38;181.297248
6;39;180.722784
6;40;180.022656
6;41;179.017344
6;42;177.54528
6;43;176.3784
6;44;175.678272
6;45;174.206208
6;46;173.488128
6;47;173.164992
6;48;172.51872
6;49;170.36448
6;50;169.610496
6;51;168.7128961
6;52;168.12048
6;53;168.3
6;54;168.425664
6;55;167.2049281
6;56;166.486848
6;57;166.361184
6;58;165.6969601
6;59;164.494176
6;60;163.399104
6;61;163.45296
6;62;163.291392
6;63;163.27344
6;64;162.4656
6;65;161.1730561
6;66;160.2216
6;67;160.616544
6;68;160.4190721
6;69;160.2934081
6;70;159.50352
6;71;159.018816
6;72;158.552064
6;73;157.995552
6;74;156.882528
6;75;155.82336
6;76;156.3978241
6;77;156.99024
6;78;157.187712
6;79;157.456992
6;80;158.085312
6;81;158.0314561
6;82;158.175072
6;83;158.713632
6;84;159.324
6;85;159.4137601
6;86;160.095936
6;87;161.1730561
6;88;160.706304
6;89;159.7728
6;90;158.7854401
6;91;157.70832
6;92;157.0261441
6;93;157.367232
6;94;158.2827841
6;95;158.1571201
6;96;157.9776
6;97;157.851936
6;98;157.762176
6;99;157.097952
6;100;157.762176
6;101;158.462304
6;102;159.700992
6;103;160.58064
6;104;161.065344
6;105;160.93968
6;106;160.5447361
6;107;160.975584
6;108;161.514144
6;109;162.896448
6;110;163.955616
6;111;164.97888
6;112;165.732864
6;113;165.912384
6;114;166.756128
6;115;167.528064
6;116;168.192288
6;117;168.3359041
6;118;169.053984
6;119;169.91568
6;120;171.046656
6;121;171.746784
6;122;171.818592
6;123;172.446912
6;124;173.14704
6;125;174.529344
6;126;175.337184
6;127;176.01936
6;128;176.19888
6;129;177.401664
6;130;177.958176
6;131;178.35312
6;132;178.80192
6;133;179.34048
6;134;180.68688
6;135;181.22544
6;136;182.158944
6;137;183.577152
6;138;184.618368
6;139;185.318496
6;140;186.485376
6;141;187.293216
6;142;188.083104
6;143;188.890944
6;144;189.178176
6;145;189.357696
6;146;189.57312
6;147;190.452768
6;148;190.757952
6;149;190.793856
6;150;192.822432
6;151;193.414848
6;152;193.630272
6;153;193.540512
6;154;193.378944
6;155;193.576416
6;156;193.737984
6;157;194.114976
6;158;194.079072
6;159;194.527872
6;160;195.838368
6;161;195.192096
6;162;195.820416
6;163;195.85632
6;164;196.089696
6;165;196.179456
6;166;196.592352
6;167;196.502592
6;168;196.771872
275;1;419.1332429
275;2;419.9087693
275;3;420.4128614
275;4;420.2965325
275;5;419.9475456
275;6;418.2801638
275;7;418.4740454
275;8;418.0087296
275;9;417.2719795
275;10;417.0005453
275;11;417.5434138
275;12;417.6209664
275;13;416.5740058
275;14;414.5188608
275;15;412.6575974
275;16;411.5718605
275;17;410.4861235
275;18;410.7963341
275;19;409.2840576
275;20;409.3616102
275;21;408.6248602
275;22;408.0432154
275;23;406.8023731
275;24;405.0186624
275;25;403.6614912
275;26;402.6920832
275;27;401.6838989
275;28;400.0165171
275;29;398.8532275
275;30;397.9225958
275;31;398.0777011
275;32;395.6735693
275;33;395.2082534
275;34;393.9286349
275;35;392.1449242
275;36;391.7959373
275;37;392.1837005
275;38;391.6020557
275;39;390.3612134
275;40;388.848937
275;41;386.677463
275;42;383.4978048
275;43;380.977344
275;44;379.4650675
275;45;376.2854093
275;46;374.7343565
275;47;374.0363827
275;48;372.6404352
275;49;367.9872768
275;50;366.3586714
275;51;364.4198554
275;52;363.1402368
275;53;363.528
275;54;363.7994342
275;55;361.1626445
275;56;359.6115917
275;57;359.3401574
275;58;357.9054336
275;59;355.3074202
275;60;352.9420646
275;61;353.0583936
275;62;352.7094067
275;63;352.6706304
275;64;350.925696
275;65;348.133801
275;66;346.078656
275;67;346.931735
275;68;346.5051955
275;69;346.2337613
275;70;344.5276032
275;71;343.4806426
275;72;342.4724582
275;73;341.2703923
275;74;338.8662605
275;75;336.5784576
275;76;337.8192998
275;77;339.0989184
275;78;339.5254579
275;79;340.1071027
275;80;341.4642739
275;81;341.347945
275;82;341.6581555
275;83;342.8214451
275;84;344.13984
275;85;344.3337216
275;86;345.8072218
275;87;348.133801
275;88;347.1256166
275;89;345.109248
275;90;342.9765504
275;91;340.6499712
275;92;339.176471
275;93;339.9132211
275;94;341.8908134
275;95;341.6193792
275;96;341.231616
275;97;340.9601818
275;98;340.7663002
275;99;339.3315763
275;100;340.7663002
275;101;342.2785766
275;102;344.9541427
275;103;346.8541824
275;104;347.901143
275;105;347.6297088
275;106;346.7766298
275;107;347.7072614
275;108;348.870551
275;109;351.8563277
275;110;354.1441306
275;111;356.3543808
275;112;357.9829862
275;113;358.3707494
275;114;360.1932365
275;115;361.8606182
275;116;363.2953421
275;117;363.6055526
275;118;365.1566054
275;119;367.0178688
275;120;369.460777
275;121;370.9730534
275;122;371.1281587
275;123;372.4853299
275;124;373.9976064
275;125;376.983383
275;126;378.7283174
275;127;380.2018176
275;128;380.5895808
275;129;383.1875942
275;130;384.3896602
275;131;385.2427392
275;132;386.2121472
275;133;387.3754368
275;134;390.2836608
275;135;391.4469504
275;136;393.463319
275;137;396.5266483
275;138;398.7756749
275;139;400.2879514
275;140;402.8084122
275;141;404.5533466
275;142;406.2595046
275;143;408.004439
275;144;408.6248602
275;145;409.0126234
275;146;409.4779392
275;147;411.3779789
275;148;412.0371763
275;149;412.114729
275;150;416.4964531
275;151;417.7760717
275;152;418.2413875
275;153;418.0475059
275;154;417.698519
275;155;418.1250586
275;156;418.4740454
275;157;419.2883482
275;158;419.2107955
275;159;420.1802035
275;160;423.0108749
275;161;421.6149274
275;162;422.9720986
275;163;423.0496512
275;164;423.5537434
275;165;423.747625
275;166;424.6394803
275;167;424.4455987
275;168;425.0272435
