periodo,barra_de,barra_para,fluxo
1,1,2,-8.9501
1,1,3,-58.8442
1,1,5,9.8839
1,2,4,-1.2897
1,2,6,0.8562
1,3,9,50.2032
1,3,24,-166.9579
1,4,9,-59.2002
1,5,10,-48.0266
1,6,10,-57.0543
1,7,8,-31.3159
1,8,9,-53.8605
1,8,10,-35.3659
1,9,11,-74.6593
1,9,12,-46.1086
1,10,11,-113.454
1,10,12,-84.9033
1,11,13,14.7578
1,11,14,-152.8711
1,12,13,-34.3868
1,12,23,-86.6251
1,13,23,-77.5395
1,14,16,-210.7816
1,15,16,228.6776
1,15,21,-453.546
1,15,24,166.9579
1,16,17,-320.0
1,16,19,279.9855
1,17,18,-281.3257
1,17,22,-38.6743
1,18,21,-211.1812
1,19,20,222.075
1,20,23,164.1645
1,21,22,38.6743
2,1,2,-12.0
2,1,3,-45.1288
2,1,5,2.2292
2,2,4,-4.1539
2,2,6,-3.897
2,3,9,22.613
2,3,24,-122.6413
2,4,9,-59.0535
2,5,10,-52.6704
2,6,10,-58.7966
2,7,8,-26.824
2,8,9,-48.0825
2,8,10,-33.6411
2,9,11,-91.5021
2,9,12,-47.9205
2,10,11,-121.7947
2,10,12,-78.2131
2,11,13,46.3918
2,11,14,-59.6885
2,12,13,-28.6257
2,12,23,-47.508
2,13,23,-37.1335
2,14,16,-114.5881
2,15,16,152.8061
2,15,21,-330.347
2,15,24,122.6413
2,16,17,-211.1223
2,16,19,194.4407
2,17,18,-181.0179
2,17,22,-30.1044
2,18,21,-205.5175
2,19,20,139.5411
2,20,23,84.6415
2,21,22,30.1044
3,1,2,-12.0
3,1,3,-35.5034
3,1,5,-5.411
3,2,4,-7.8705
3,2,6,-8.9193
3,3,9,0.0735
3,3,24,-88.4914
3,4,9,-60.785
3,5,10,-58.3255
3,6,10,-61.8337
3,7,8,-24.4525
3,8,9,-44.4048
3,8,10,-32.9621
3,9,11,-80.0384
3,9,12,-77.9924
3,10,11,-104.0408
3,10,12,-101.9949
3,11,13,23.0761
3,11,14,-7.1554
3,12,13,19.5544
3,12,23,0.4584
3,13,23,-10.2839
3,14,16,-60.0698
3,15,16,88.8159
3,15,21,-230.2218
3,15,24,88.4914
3,16,17,-139.8227
3,16,19,115.6544
3,17,18,-119.4774
