periodo,nome,variavel,valor
0,FURNAS,volume armazenado,20950.0
0,TUCURUI,volume armazenado,48275.0
1,FURNAS,volume armazenado,20994.68981579909
1,TUCURUI,volume armazenado,47542.150856728054
2,FURNAS,volume armazenado,21153.63581780335
2,TUCURUI,volume armazenado,47035.15480489864
3,FURNAS,volume armazenado,21312.815195807612
3,TUCURUI,volume armazenado,46812.661689766464
4,FURNAS,volume armazenado,21471.940717811874
4,TUCURUI,volume armazenado,46613.410698610816
5,FURNAS,volume armazenado,21311.7988178545
5,TUCURUI,volume armazenado,46867.37275780858
6,FURNAS,volume armazenado,21328.166011875808
6,TUCURUI,volume armazenado,46859.222149405156
7,FURNAS,volume armazenado,21504.175892877938
7,TUCURUI,volume armazenado,46650.667835405984
8,FURNAS,volume armazenado,21679.97034988007
8,TUCURUI,volume armazenado,46534.06799283134
9,FURNAS,volume armazenado,21855.4237188822
9,TUCURUI,volume armazenado,46444.1831440927
10,FURNAS,volume armazenado,22030.751423884332
10,TUCURUI,volume armazenado,46308.385484729784
11,FURNAS,volume armazenado,21869.496499926954
11,TUCURUI,volume armazenado,46601.03392276018
12,FURNAS,volume armazenado,21708.277479969576
12,TUCURUI,volume armazenado,46860.19383043082
13,FURNAS,volume armazenado,21551.61876877698
13,TUCURUI,volume armazenado,47219.447257349064
14,FURNAS,volume armazenado,21391.74780306963
14,TUCURUI,volume armazenado,47576.64553926731
15,FURNAS,volume armazenado,21236.74288739742
15,TUCURUI,volume armazenado,47931.98255778555
16,FURNAS,volume armazenado,21072.72335544004
16,TUCURUI,volume armazenado,48279.49132596591
17,FURNAS,volume armazenado,20908.201167482664
17,TUCURUI,volume armazenado,48569.71711715454
18,FURNAS,volume armazenado,20743.822595525286
18,TUCURUI,volume armazenado,48740.1049708445
19,FURNAS,volume armazenado,20897.84974952955
19,TUCURUI,volume armazenado,48162.767129237014
20,FURNAS,volume armazenado,20732.80695357217
20,TUCURUI,volume armazenado,48026.40888244818
21,FURNAS,volume armazenado,20886.528923576432
21,TUCURUI,volume armazenado,47489.82933355617
22,FURNAS,volume armazenado,20863.73351671607
22,TUCURUI,volume armazenado,47259.15752713087
23,FURNAS,volume armazenado,20895.785209303976
23,TUCURUI,volume armazenado,47027.24487840557
24,FURNAS,volume armazenado,20906.012819325286
24,TUCURUI,volume armazenado,46895.18443080109
25,FURNAS,volume armazenado,20915.612109346595
25,TUCURUI,volume armazenado,46795.433528484115
26,FURNAS,volume armazenado,21068.72249728639
26,TUCURUI,volume armazenado,46559.41058985882
27,FURNAS,volume armazenado,21254.687265286393
