periodo,submercado,nome,geracao
1,1,FURNAS,15.2
1,1,FURNAS,112.85492802736485
1,1,TUCURUI,2.25
1,1,TUCURUI,311.15154099263515
1,1,TUCURUI,390.0
2,1,FURNAS,15.2
2,1,FURNAS,15.2
2,1,TUCURUI,2.25
2,1,TUCURUI,173.71896563886827
2,1,TUCURUI,390.0
3,1,FURNAS,15.2
3,1,FURNAS,15.2
3,1,TUCURUI,2.25
3,1,TUCURUI,35.0
3,1,TUCURUI,355.3090009312921
4,1,FURNAS,15.2
4,1,FURNAS,15.2
4,1,TUCURUI,2.25
4,1,TUCURUI,35.0
4,1,TUCURUI,341.0463073816509
5,1,FURNAS,152.0
5,1,FURNAS,152.0
5,1,TUCURUI,2.25
5,1,TUCURUI,35.0
5,1,TUCURUI,64.1008959157971
6,1,FURNAS,-0.0
6,1,FURNAS,152.0
6,1,TUCURUI,-0.0
6,1,TUCURUI,35.0
6,1,TUCURUI,225.37903521364672
7,1,FURNAS,-0.0
7,1,FURNAS,15.2
7,1,TUCURUI,-0.0
7,1,TUCURUI,35.0
7,1,TUCURUI,347.86411280391553
8,1,FURNAS,-0.0
8,1,FURNAS,15.2
8,1,TUCURUI,-0.0
8,1,TUCURUI,-0.0
8,1,TUCURUI,326.43250279643354
9,1,FURNAS,-0.0
9,1,FURNAS,15.2
9,1,TUCURUI,-0.0
9,1,TUCURUI,-0.0
9,1,TUCURUI,309.67044183152257
10,1,FURNAS,-0.0
10,1,FURNAS,15.2
10,1,TUCURUI,-0.0
10,1,TUCURUI,-0.0
10,1,TUCURUI,337.53910969938596
11,1,FURNAS,152.0
11,1,FURNAS,152.0
11,1,TUCURUI,-0.0
11,1,TUCURUI,-0.0
11,1,TUCURUI,76.26099103000001
12,1,FURNAS,152.0
12,1,FURNAS,152.0
12,1,TUCURUI,-0.0
12,1,TUCURUI,-0.0
12,1,TUCURUI,96.75647321999992
13,1,FURNAS,147.67442754399994
13,1,FURNAS,152.0
13,1,TUCURUI,-0.0
13,1,TUCURUI,35.0
13,1,TUCURUI,-0.0
14,1,FURNAS,149.612826561
14,1,FURNAS,152.0
14,1,TUCURUI,-0.0
14,1,TUCURUI,35.0
14,1,TUCURUI,-0.0
15,1,FURNAS,144.70188150699997
15,1,FURNAS,152.0
15,1,TUCURUI,-0.0
15,1,TUCURUI,35.0
15,1,TUCURUI,-0.0
16,1,FURNAS,152.0
16,1,FURNAS,152.0
16,1,TUCURUI,2.25
16,1,TUCURUI,36.86698512000001
16,1,TUCURUI,-0.0
17,1,FURNAS,152.0
17,1,FURNAS,152.0
17,1,TUCURUI,2.25
17,1,TUCURUI,71.18107332499994
17,1,TUCURUI,-0.0
18,1,FURNAS,152.0
18,1,FURNAS,152.0
18,1,TUCURUI,2.25
18,1,TUCURUI,144.5436468630001
18,1,TUCURUI,-0.0
19,1,FURNAS,15.2
19,1,FURNAS,15.2
19,1,TUCURUI,2.25
19,1,TUCURUI,210.18227032816714
19,1,TUCURUI,390.0
20,1,FURNAS,152.0
20,1,FURNAS,152.0
20,1,TUCURUI,2.25
20,1,TUCURUI,35.0
20,1,TUCURUI,295.9670638752541
21,1,FURNAS,15.2
21,1,FURNAS,15.2
21,1,TUCURUI,-0.0
21,1,TUCURUI,187.14271145905647
21,1,TUCURUI,390.0
22,1,FURNAS,29.514367547634905
22,1,FURNAS,152.0
22,1,TUCURUI,-0.0
22,1,TUCURUI,-0.0
22,1,TUCURUI,390.0
23,1,FURNAS,15.2
23,1,FURNAS,118.79615510748066
23,1,TUCURUI,-0.0
23,1,TUCURUI,-0.0
23,1,TUCURUI,390.0
24,1,FURNAS,-3.3149260657749102e-15
24,1,FURNAS,152.0
24,1,TUCURUI,-0.0
24,1,TUCURUI,-0.0
24,1,TUCURUI,327.9410155457964
25,1,FURNAS,-0.0
25,1,FURNAS,152.0
25,1,TUCURUI,-0.0
25,1,TUCURUI,-0.0
25,1,TUCURUI,307.384086428018
26,1,FURNAS,-0.0
26,1,FURNAS,28.569396701723193
26,1,TUCURUI,-0.0
26,1,TUCURUI,-0.0
26,1,TUCURUI,390.0
27,1,FURNAS,-0.0
27,1,FURNAS,-0.0
27,1,TUCURUI,-0.0
27,1,TUCURUI,35.0
27,1,TUCURUI,351.72272951398725
28,1,FURNAS,-0.0
28,1,FURNAS,-0.0
28,1,TUCURUI,-0.0
28,1,TUCURUI,35.0
28,1,TUCURUI,328.55782385431934
29,1,FURNAS,-0.0
29,1,FURNAS,-0.0
29,1,TUCURUI,-0.0
29,1,TUCURUI,35.0
29,1,TUCURUI,318.1157435353516
30,1,FURNAS,-0.0
30,1,FURNAS,-0.0
30,1,TUCURUI,-0.0
30,1,TUCURUI,35.0
30,1,TUCURUI,311.63686122471825
31,1,FURNAS,152.0
31,1,FURNAS,-0.0
31,1,TUCURUI,-0.0
31,1,TUCURUI,35.0
31,1,TUCURUI,134.93819779473318
32,1,FURNAS,152.0
32,1,FURNAS,-0.0
32,1,TUCURUI,2.25
32,1,TUCURUI,-0.0
32,1,TUCURUI,78.47480645411991
33,1,FURNAS,152.0
33,1,FURNAS,-0.0
33,1,TUCURUI,2.25
33,1,TUCURUI,-0.0
33,1,TUCURUI,49.904309402563634
34,1,FURNAS,152.0
34,1,FURNAS,-0.0
34,1,TUCURUI,2.25
34,1,TUCURUI,-0.0
34,1,TUCURUI,63.357913924822526
35,1,FURNAS,15.2
35,1,FURNAS,-0.0
35,1,TUCURUI,2.25
35,1,TUCURUI,-0.0
35,1,TUCURUI,230.25231859722513
36,1,FURNAS,15.2
36,1,FURNAS,-0.0
36,1,TUCURUI,2.25
36,1,TUCURUI,-0.0
36,1,TUCURUI,254.79620256898687
37,1,FURNAS,125.48909763999998
37,1,FURNAS,152.0
37,1,TUCURUI,-0.0
37,1,TUCURUI,-0.0
37,1,TUCURUI,-0.0
38,1,FURNAS,91.95604889561235
38,1,FURNAS,152.0
38,1,TUCURUI,-0.0
38,1,TUCURUI,-0.0
38,1,TUCURUI,-0.0
39,1,FURNAS,32.40251536662796
39,1,FURNAS,152.0
39,1,TUCURUI,-0.0
39,1,TUCURUI,-0.0
39,1,TUCURUI,-0.0
40,1,FURNAS,56.70490640999998
40,1,FURNAS,152.0
40,1,TUCURUI,-0.0
40,1,TUCURUI,-0.0
40,1,TUCURUI,-0.0
41,1,FURNAS,123.83474797
41,1,FURNAS,152.0
41,1,TUCURUI,-0.0
