periodo,barra_de,barra_para,fluxo
1,1,2,-8.950122829360623
1,1,3,-58.844247680069344
1,1,5,9.883891889429236
1,2,4,-1.2897180639304793
1,2,6,0.8562197645699854
1,3,9,50.20322266692134
1,3,24,-166.95794902699055
1,4,9,-59.20019674393053
1,5,10,-48.0265867905708
1,6,10,-57.0542589154301
1,7,8,-31.31591341
1,8,9,-53.86049808078734
1,8,10,-35.36589400921246
1,9,11,-74.65932610913903
1,9,12,-46.10862472865773
1,10,11,-113.45395988784722
1,10,12,-84.9032585073659
1,11,13,14.757821049221985
1,11,14,-152.8711070462087
1,12,13,-34.38682886799998
1,12,23,-86.62505436802353
1,13,23,-77.53948649877745
1,14,16,-210.78158572620862
1,15,16,228.67756263300862
1,15,21,-453.5459903400001
1,15,24,166.9579490269905
1,16,17,-319.99999999999994
1,16,19,279.9854982268015
1,17,18,-281.32567156868726
1,17,22,-38.67432843131013
1,18,21,-211.18122222132692
1,19,20,222.07501954680123
1,20,23,164.164540866801
1,21,22,38.674328431310585
2,1,2,-11.999999999999886
2,1,3,-45.12878116587723
2,1,5,2.229179685876673
2,2,4,-4.153899707840722
2,2,6,-3.8970234410274287
2,3,9,22.612955846173254
2,3,24,-122.64134098205041
2,4,9,-59.05350367784073
2,5,10,-52.67042428412336
2,6,10,-58.79662741102751
2,7,8,-26.823985430000008
2,8,9,-48.08249397192084
2,8,10,-33.641095428079005
2,9,11,-91.50210114322286
2,9,12,-47.92054463036566
2,10,11,-121.79465380304345
2,10,12,-78.21309729018624
2,11,13,46.391762728900574
2,11,14,-59.68851767516725
2,12,13,-28.62567061290283
2,12,23,-47.50797130764889
2,13,23,-37.13351185400185
2,14,16,-114.5881216451672
2,15,16,152.80607521950856
2,15,21,-330.34702017155956
2,15,24,122.64134098205037
2,16,17,-211.1223414973087
2,16,19,194.44069110165103
2,17,18,-181.01792517324037
2,17,22,-30.104416324066616
2,18,21,-205.51752914324365
2,19,20,139.54108713165112
2,20,23,84.64148316165088
2,21,22,30.10441632406699
3,1,2,-12.000000000000057
3,1,3,-35.50344066423676
3,1,5,-5.4110046357635895
3,2,4,-7.8705417425271875
3,2,6,-8.919253888764992
3,3,9,0.07353037053771061
3,3,24,-88.49142038477441
3,4,9,-60.784991092527186
3,5,10,-58.32545398576358
3,6,10,-61.83370323876507
3,7,8,-24.452469100000002
3,8,9,-44.40482323303531
3,8,10,-32.96209521696458
3,9,11,-80.03836147516651
3,9,12,-77.99237182985843
3,10,11,-104.04084571840059
3,10,12,-101.99485607309249
3,11,13,23.076149971773866
3,11,14,-7.155357165341229
3,12,13,19.5543645167353
3,12,23,0.4584075803139882
3,13,23,-10.283934861490515
3,14,16,-60.06980651534119
3,15,16,88.81593456989374
3,15,21,-230.2218043046686
3,15,24,88.49142038477444
3,16,17,-139.82274727662355
3,16,19,115.65442598117673
3,17,18,-119.47738243611583
3,17,22,-20.345364840506544
3,18,21,-141.9918317861181
3,19,20,62.73997663117677
3,20,23,9.825527281176846
3,21,22,20.34536484050679
4,1,2,-11.999999999999986
4,1,3,-34.46013685851035
4,1,5,-5.58029620149
4,2,4,-7.830255447211073
4,2,6,-8.938654014439841
4,3,9,-0.9343855554670188
4,3,24,-85.56618594304328
4,4,9,-59.870690087211045
4,5,10,-57.62073084149
4,6,10,-60.97908865443992
4,7,8,-23.32087990000001
4,8,9,-43.242937842494385
4,8,10,-32.11837669750551
4,9,11,-78.88278577149043
4,9,12,-77.20566235368214
4,10,11,-102.21787712562178
4,10,12,-100.54075370781351
4,11,13,23.057029946882814
4,11,14,-4.157692843995335
4,12,13,20.170178162130775
4,12,23,2.083405776373773
4,13,23,-8.813226530986107
4,14,16,-56.19812748399529
4,15,16,84.52383482523558
4,15,21,-222.13045540827932
4,15,24,85.56618594304331
4,16,17,-134.52541733337165
4,16,19,110.81069003461255
4,17,18,-114.95222129252721
4,17,22,-19.573196040843346
4,18,21,-136.59265593252934
4,19,20,58.77025539461259
4,20,23,6.729820754612646
4,21,22,19.573196040843587
5,1,2,-12.000000000000085
5,1,3,-33.738632232051515
5,1,5,-6.045541367948815
5,2,4,-8.036576317022408
5,2,6,-9.229494498774685
5,3,9,-2.38984541972083
5,3,24,-83.13296226233058
5,4,9,-59.820751767022394
5,5,10,-57.829716817948835
5,6,10,-61.01366994877477
5,7,8,-23.322195200000007
5,8,9,-43.00363711775698
5,8,10,-32.10273353224294
5,9,11,-79.35320649014646
5,9,12,-77.64520326435387
5,10,11,-102.21914948737947
5,10,12,-100.51114626158687
5,11,13,22.901203302132636
5,11,14,-4.473559279658986
5,12,13,19.961197749538833
5,12,23,1.88245272452059
5,13,23,-8.92177439832826
5,14,16,-56.25773472965885
5,15,16,51.11632368831607
5,15,21,-186.03346140064755
5,15,24,83.13296226233068
5,16,17,-167.53325906514982
5,16,19,110.60767257380812
5,17,18,-161.25665916224335
5,17,22,-6.276599902905701
5,18,21,90.95916538775478
5,19,20,58.82349712380774
5,20,23,7.03932167380783
5,21,22,6.27659990290595
6,1,2,-12.0
6,1,3,-34.51356317150516
6,1,5,-5.686091948495246
6,2,4,-7.909308200017122
6,2,6,-9.028866873629546
6,3,9,-1.1321129025499879
6,3,24,-85.58110729895509
6,4,9,-60.10896523001711
6,5,10,-57.885748978495286
6,6,10,-61.22852390362964
6,7,8,-24.4460066
6,8,9,-43.892662657074695
6,8,10,-32.753000972925214
6,9,11,-79.58504352762654
6,9,12,-77.74835429201539
6,10,11,-102.95181006033054
6,10,12,-101.11512082471941
6,11,13,22.960710561767197
6,11,14,-5.497564149724624
6,12,13,19.79919630374795
6,12,23,1.3373285795174539
6,13,23,-9.439750164484565
6,14,16,-57.69722117972455
6,15,16,71.25623326385559
6,15,21,-209.0369975928113
6,15,24,85.58110729895515
6,16,17,-151.14238059083553
6,16,19,112.50173564496741
6,17,18,-137.19812254052042
6,17,22,-13.944258050314147
6,18,21,-37.39777957052248
6,19,20,60.30207861496726
6,20,23,8.102421584967345
6,21,22,13.944258050314394
7,1,2,-11.9999999999999
7,1,3,-33.778385491166944
7,1,5,-6.361817328833503
7,2,4,-8.255178939169696
7,2,6,-9.485905514745745
7,3,9,-3.0544422609703137
7,3,24,-82.86414806019658
7,4,9,-60.39538376916968
7,5,10,-58.50202215883351
7,6,10,-61.62611034474583
7,7,8,-25.99639492
7,8,9,-36.6349137986994
7,8,10,-25.725248941300492
7,9,11,-76.7062285064852
7,9,12,-75.51871615235434
7,10,11,-99.59054931450527
7,10,12,-98.40303696037442
7,11,13,23.63372650839745
7,11,14,0.06949567061180062
7,12,13,21.58964786604102
7,12,23,4.488599021230414
7,13,23,-6.916830455561236
7,14,16,-52.07070915938816
7,15,16,82.70461947832779
7,15,21,-217.70897236852474
7,15,24,82.86414806019661
7,16,17,-128.21493560539082
7,16,19,106.70864109433101
7,17,18,-108.50215843002515
7,17,22,-19.71277717536461
7,18,21,-145.4423632600273
7,19,20,54.56843626433108
7,20,23,2.4282314343311384
7,21,22,19.712777175364838
8,1,2,-12.000000000000014
8,1,3,-30.179296959258124
8,1,5,-12.198219060742133
8,2,4,-11.648992674245378
8,2,6,-13.737968472188228
8,3,9,-17.972860309819474
8,3,24,-66.58395517943862
8,4,9,-66.02651120424535
8,5,10,-66.57573759074214
8,6,10,-68.11548700218832
8,7,8,-30.10112360999998
8,8,9,11.641173328184385
8,8,10,21.398541931815675
