codigo;nome;periodo;carga;submercado
1;BARRA 1;1;57.91047868;1
2;BARRA 2;1;57.91047868;1
3;BARRA 3;1;57.91047868;1
4;BARRA 4;1;57.91047868;1
5;BARRA 5;1;57.91047868;1
6;BARRA 6;1;57.91047868;1
7;BARRA 7;1;57.91047868;1
8;BARRA 8;1;57.91047868;1
9;BARRA 9;1;57.91047868;1
10;BARRA 10;1;57.91047868;1
11;BARRA 11;1;0;1
12;BARRA 12;1;0;1
13;BARRA 13;1;57.91047868;1
14;BARRA 14;1;57.91047868;1
15;BARRA 15;1;57.91047868;1
16;BARRA 16;1;57.91047868;1
17;BARRA 17;1;0;1
18;BARRA 18;1;57.91047868;1
19;BARRA 19;1;57.91047868;1
20;BARRA 20;1;57.91047868;1
21;BARRA 21;1;0;1
22;BARRA 22;1;0;1
23;BARRA 23;1;0;1
24;BARRA 24;1;0;1
1;BARRA 1;2;54.89960397;1
2;BARRA 2;2;54.89960397;1
3;BARRA 3;2;54.89960397;1
4;BARRA 4;2;54.89960397;1
5;BARRA 5;2;54.89960397;1
6;BARRA 6;2;54.89960397;1
7;BARRA 7;2;54.89960397;1
8;BARRA 8;2;54.89960397;1
9;BARRA 9;2;54.89960397;1
10;BARRA 10;2;54.89960397;1
11;BARRA 11;2;0;1
12;BARRA 12;2;0;1
13;BARRA 13;2;54.89960397;1
14;BARRA 14;2;54.89960397;1
15;BARRA 15;2;54.89960397;1
16;BARRA 16;2;54.89960397;1
17;BARRA 17;2;0;1
18;BARRA 18;2;54.89960397;1
19;BARRA 19;2;54.89960397;1
20;BARRA 20;2;54.89960397;1
21;BARRA 21;2;0;1
22;BARRA 22;2;0;1
23;BARRA 23;2;0;1
24;BARRA 24;2;0;1
1;BARRA 1;3;52.91444935;1
2;BARRA 2;3;52.91444935;1
3;BARRA 3;3;52.91444935;1
4;BARRA 4;3;52.91444935;1
5;BARRA 5;3;52.91444935;1
6;BARRA 6;3;52.91444935;1
7;BARRA 7;3;52.91444935;1
8;BARRA 8;3;52.91444935;1
9;BARRA 9;3;52.91444935;1
10;BARRA 10;3;52.91444935;1
11;BARRA 11;3;0;1
12;BARRA 12;3;0;1
13;BARRA 13;3;52.91444935;1
14;BARRA 14;3;52.91444935;1
15;BARRA 15;3;52.91444935;1
16;BARRA 16;3;52.91444935;1
17;BARRA 17;3;0;1
18;BARRA 18;3;52.91444935;1
19;BARRA 19;3;52.91444935;1
20;BARRA 20;3;52.91444935;1
21;BARRA 21;3;0;1
22;BARRA 22;3;0;1
23;BARRA 23;3;0;1
24;BARRA 24;3;0;1
1;BARRA 1;4;52.04043464;1
2;BARRA 2;4;52.04043464;1
3;BARRA 3;4;52.04043464;1
4;BARRA 4;4;52.04043464;1
5;BARRA 5;4;52.04043464;1
6;BARRA 6;4;52.04043464;1
7;BARRA 7;4;52.04043464;1
8;BARRA 8;4;52.04043464;1
9;BARRA 9;4;52.04043464;1
10;BARRA 10;4;52.04043464;1
11;BARRA 11;4;0;1
12;BARRA 12;4;0;1
13;BARRA 13;4;52.04043464;1
14;BARRA 14;4;52.04043464;1
15;BARRA 15;4;52.04043464;1
16;BARRA 16;4;52.04043464;1
17;BARRA 17;4;0;1
18;BARRA 18;4;52.04043464;1
19;BARRA 19;4;52.04043464;1
20;BARRA 20;4;52.04043464;1
21;BARRA 21;4;0;1
22;BARRA 22;4;0;1
23;BARRA 23;4;0;1
24;BARRA 24;4;0;1
1;BARRA 1;5;51.78417545;1
2;BARRA 2;5;51.78417545;1
3;BARRA 3;5;51.78417545;1
4;BARRA 4;5;51.78417545;1
5;BARRA 5;5;51.78417545;1
6;BARRA 6;5;51.78417545;1
7;BARRA 7;5;51.78417545;1
8;BARRA 8;5;51.78417545;1
9;BARRA 9;5;51.78417545;1
10;BARRA 10;5;51.78417545;1
11;BARRA 11;5;0;1
12;BARRA 12;5;0;1
13;BARRA 13;5;51.78417545;1
14;BARRA 14;5;51.78417545;1
15;BARRA 15;5;51.78417545;1
16;BARRA 16;5;51.78417545;1
17;BARRA 17;5;0;1
18;BARRA 18;5;51.78417545;1
19;BARRA 19;5;51.78417545;1
20;BARRA 20;5;51.78417545;1
21;BARRA 21;5;0;1
22;BARRA 22;5;0;1
23;BARRA 23;5;0;1
24;BARRA 24;5;0;1
1;BARRA 1;6;52.19965703;1
2;BARRA 2;6;52.19965703;1
3;BARRA 3;6;52.19965703;1
4;BARRA 4;6;52.19965703;1
5;BARRA 5;6;52.19965703;1
6;BARRA 6;6;52.19965703;1
7;BARRA 7;6;52.19965703;1
8;BARRA 8;6;52.19965703;1
9;BARRA 9;6;52.19965703;1
10;BARRA 10;6;52.19965703;1
11;BARRA 11;6;0;1
12;BARRA 12;6;0;1
13;BARRA 13;6;52.19965703;1
14;BARRA 14;6;52.19965703;1
15;BARRA 15;6;52.19965703;1
16;BARRA 16;6;52.19965703;1
17;BARRA 17;6;0;1
18;BARRA 18;6;52.19965703;1
19;BARRA 19;6;52.19965703;1
20;BARRA 20;6;52.19965703;1
21;BARRA 21;6;0;1
22;BARRA 22;6;0;1
23;BARRA 23;6;0;1
24;BARRA 24;6;0;1
1;BARRA 1;7;52.14020483;1
2;BARRA 2;7;52.14020483;1
3;BARRA 3;7;52.14020483;1
4;BARRA 4;7;52.14020483;1
5;BARRA 5;7;52.14020483;1
6;BARRA 6;7;52.14020483;1
7;BARRA 7;7;52.14020483;1
8;BARRA 8;7;52.14020483;1
9;BARRA 9;7;52.14020483;1
10;BARRA 10;7;52.14020483;1
11;BARRA 11;7;0;1
12;BARRA 12;7;0;1
13;BARRA 13;7;52.14020483;1
14;BARRA 14;7;52.14020483;1
15;BARRA 15;7;52.14020483;1
16;BARRA 16;7;52.14020483;1
17;BARRA 17;7;0;1
18;BARRA 18;7;52.14020483;1
19;BARRA 19;7;52.14020483;1
20;BARRA 20;7;52.14020483;1
21;BARRA 21;7;0;1
22;BARRA 22;7;0;1
23;BARRA 23;7;0;1
24;BARRA 24;7;0;1
1;BARRA 1;8;54.37751853;1
2;BARRA 2;8;54.37751853;1
3;BARRA 3;8;54.37751853;1
4;BARRA 4;8;54.37751853;1
5;BARRA 5;8;54.37751853;1
6;BARRA 6;8;54.37751853;1
7;BARRA 7;8;54.37751853;1
8;BARRA 8;8;54.37751853;1
9;BARRA 9;8;54.37751853;1
10;BARRA 10;8;54.37751853;1
11;BARRA 11;8;0;1
12;BARRA 12;8;0;1
13;BARRA 13;8;54.37751853;1
14;BARRA 14;8;54.37751853;1
15;BARRA 15;8;54.37751853;1
16;BARRA 16;8;54.37751853;1
17;BARRA 17;8;0;1
