periodo,barra_de,barra_para,fluxo
1,1,2,-7.928811817722135
1,1,3,-59.05654268470221
1,1,5,10.7314752977679
1,2,4,-0.7945493804874673
1,2,6,1.38236209276549
1,3,9,51.657587754653505
1,3,24,-168.62460911935563
1,4,9,-58.705028060487535
1,5,10,-47.17900338223214
1,6,10,-56.52811658723461
1,7,8,-31.31591341
1,8,9,-53.9159149860461
1,8,10,-35.3104771039537
1,9,11,-75.04319299852438
1,9,12,-43.830640973356
1,10,11,-114.0703138892943
1,10,12,-82.85776186412593
1,11,13,16.36476500270102
1,11,14,-155.47827189052018
1,12,13,-37.361758975047884
1,12,23,-89.32664386243391
1,13,23,-78.9074726523463
1,14,16,-213.3887505705201
1,15,16,235.35430312529925
1,15,21,-461.88939092465586
1,15,24,168.62460911935554
1,16,17,-319.99999999999994
1,16,19,284.0550738747807
1,17,18,-279.49381119943496
1,17,22,-40.5061888005624
1,18,21,-237.60442027478388
1,19,20,226.1445951947805
1,20,23,168.23411651478023
1,21,22,40.50618880056286
2,1,2,-14.84461956900401
2,1,3,-46.079922743658045
2,1,5,6.024940832661542
2,2,4,-1.5008447962477334
2,2,6,-1.138447922756157
2,3,9,29.119675696412315
2,3,24,-130.0992024100703
2,4,9,-56.40044876624778
2,5,10,-48.87466313733847
2,6,10,-56.03805189275624
2,7,8,-26.823985430000008
2,8,9,-48.33324649269212
2,8,10,-33.39034290730771
2,9,11,-93.72821893104242
2,9,12,-36.78540460148536
2,10,11,-125.07273811847966
2,10,12,-68.12992378892261
2,11,13,54.37029222154179
2,11,14,-73.17124927106428
2,12,13,-43.64602752605645
2,12,23,-61.26930086435134
2,13,23,-44.17533927451423
2,14,16,-128.07085324106424
2,15,16,169.41961042316953
2,15,21,-354.41841680324046
2,15,24,130.0992024100703
2,16,17,-228.79469486675956
2,16,19,215.24384807886588
2,17,18,-196.30329564652257
2,17,22,-32.49139922023507
2,18,21,-220.80289961652613
2,19,20,160.34424410886598
2,20,23,105.44464013886567
2,21,22,32.491399220235465
3,1,2,-14.966548666797422
3,1,3,-43.65957207158128
3,1,5,5.711675438378251
3,2,4,-1.3436208475763607
3,2,6,-1.1270153292210097
3,3,9,26.854045620217875
3,3,24,-123.4280670417991
3,4,9,-54.25807019757639
3,5,10,-47.20277391162179
3,6,10,-54.04146467922108
3,7,8,-24.452469100000005
3,8,9,-45.78998761309875
3,8,10,-31.57693083690108
3,9,11,-91.10623096624094
3,9,12,-35.0022305742165
3,10,11,-120.91980958488412
3,10,12,-64.81580919285965
3,11,13,54.32795172692496
3,11,14,-66.35399227805043
3,12,13,-42.24450796426471
3,12,23,-57.573531802811246
3,13,23,-40.83100558733935
3,14,16,-119.2684416280504
3,15,16,159.66875996724477
3,15,21,-336.0112763590445
3,15,24,123.42806704179908
3,16,17,-216.7475671009555
3,16,19,204.23343609015086
3,17,18,-186.0120620582413
3,17,22,-30.735505042712422
3,18,21,-208.52651140824463
3,19,20,151.318986740151
3,20,23,98.40453739015072
3,21,22,30.73550504271281
4,1,2,-14.335703479808132
4,1,3,-42.94261002385218
4,1,5,5.23788044365979
4,2,4,-1.6097079023085996
4,2,6,-1.3895511274994163
4,3,9,25.902647945077856
4,3,24,-120.88569260892999
4,4,9,-53.65014254230863
4,5,10,-46.802554196340225
4,6,10,-53.42998576749948
4,7,8,-23.320879900000012
4,8,9,-44.65676154451314
4,8,10,-30.704552995486708
4,9,11,-90.11289739886445
4,9,12,-34.331793382879646
4,10,11,-119.37931580765553
4,10,12,-63.598211791670735
4,11,13,54.259161885931206
4,11,14,-63.751375092451596
4,12,13,-41.75749256781313
4,12,23,-56.17251260673708
4,13,23,-39.53876532188152
4,14,16,-115.79180973245153
4,15,16,155.70653566460692
4,15,21,-328.6326629135375
4,15,24,120.88569260892993
4,16,17,-211.91785591646254
4,16,19,199.79214720861887
4,17,18,-181.89135898644756
4,17,22,-30.026496930013224
4,18,21,-203.53179362645082
4,19,20,147.75171256861898
4,20,23,95.71127792861867
4,21,22,30.026496930013604
5,1,2,-14.455944452344397
5,1,3,-42.59528674717487
5,1,5,5.267057599518793
5,2,4,-1.528597050179954
5,2,6,-1.33464376216439
5,3,9,25.654333655467298
5,3,24,-120.03379585264209
5,4,9,-53.31277250017996
5,5,10,-46.51711785048124
5,6,10,-53.11881921216445
5,7,8,-23.32219520000001
5,8,9,-44.48044225706495
5,8,10,-30.6259283929349
5,9,11,-89.8002294199768
5,9,12,-34.12282713180099
5,10,11,-118.8617215968781
5,10,12,-63.18431930870233
5,11,13,54.24874880945133
5,11,14,-62.91069982630661
5,12,13,-41.58940267019557
5,12,23,-55.717743770307564
5,13,23,-39.12482931074386
5,14,16,-114.69487527630653
5,15,16,154.48847584565567
5,15,21,-326.3064471482984
5,15,24,120.03379585264207
5,16,17,-210.40149886170167
5,16,19,198.4109239810517
5,17,18,-180.59642845582187
5,17,22,-29.805070405878038
5,18,21,-201.98060390582515
5,19,20,146.62674853105185
5,20,23,94.84257308105154
5,21,22,29.805070405878418
6,1,2,-14.577815439001114
6,1,3,-43.06473772036193
6,1,5,5.442898039362603
6,2,4,-1.469383883702676
6,2,6,-1.2533818952983466
6,3,9,26.224526411778488
6,3,24,-121.48892116214037
6,4,9,-53.669040913702716
6,5,10,-46.75675899063741
6,6,10,-53.45303892529841
6,7,8,-24.446006600000004
6,8,9,-45.32590675402026
6,8,10,-31.319756875979575
6,9,11,-90.41859278049992
6,9,12,-34.551485505444745
6,10,11,-119.79815954848519
6,10,12,-63.93105227343004
6,11,13,54.242325871943216
6,11,14,-64.45907820092873
6,12,13,-41.922366978561605
6,12,23,-56.560170800313
6,13,23,-39.87969813661798
6,14,16,-116.65873523092867
6,15,16,156.64669862763637
