periodo,submercado,nome,geracao
1,1,FURNAS,99.7998696046557
1,1,FURNAS,-1.4210854715202004e-14
1,1,TUCURUI,0.0
1,1,TUCURUI,350.0
1,1,TUCURUI,390.0
2,1,FURNAS,15.2
2,1,FURNAS,15.2
2,1,TUCURUI,0.0
2,1,TUCURUI,350.0
2,1,TUCURUI,257.71271564
3,1,FURNAS,15.2
3,1,FURNAS,15.2
3,1,TUCURUI,0.0
3,1,TUCURUI,185.27329280999993
3,1,TUCURUI,390.0
4,1,FURNAS,15.2
4,1,FURNAS,15.2
4,1,TUCURUI,0.0
4,1,TUCURUI,350.0
4,1,TUCURUI,212.19095346999995
5,1,FURNAS,15.2
5,1,FURNAS,15.2
5,1,TUCURUI,0.0
5,1,TUCURUI,350.0
5,1,TUCURUI,208.09212145999993
6,1,FURNAS,15.2
6,1,FURNAS,15.2
6,1,TUCURUI,0.0
6,1,TUCURUI,350.0
6,1,TUCURUI,215.18581047999987
7,1,FURNAS,40.0863540900001
7,1,FURNAS,152.0
7,1,TUCURUI,0.0
7,1,TUCURUI,350.0
7,1,TUCURUI,39.0
8,1,FURNAS,15.2
8,1,FURNAS,145.99039924032002
8,1,TUCURUI,0.0
8,1,TUCURUI,322.1060059796798
8,1,TUCURUI,39.0
9,1,FURNAS,15.2
9,1,FURNAS,103.66268620999989
9,1,TUCURUI,0.0
9,1,TUCURUI,0.0
9,1,TUCURUI,390.0
10,1,FURNAS,15.2
10,1,FURNAS,144.95592704000006
10,1,TUCURUI,0.0
10,1,TUCURUI,0.0
10,1,TUCURUI,390.0
11,1,FURNAS,152.0
11,1,FURNAS,48.260991030000014
11,1,TUCURUI,0.0
11,1,TUCURUI,0.0
11,1,TUCURUI,390.0
12,1,FURNAS,152.0
12,1,FURNAS,78.75647321999998
12,1,TUCURUI,0.0
12,1,TUCURUI,0.0
12,1,TUCURUI,390.0
13,1,FURNAS,152.0
13,1,FURNAS,92.67442754399997
13,1,TUCURUI,0.0
13,1,TUCURUI,0.0
13,1,TUCURUI,390.0
14,1,FURNAS,152.0
14,1,FURNAS,94.61282656100002
14,1,TUCURUI,0.0
14,1,TUCURUI,0.0
14,1,TUCURUI,390.0
15,1,FURNAS,152.0
15,1,FURNAS,95.39641184195936
15,1,TUCURUI,0.0
15,1,TUCURUI,345.30546966504073
15,1,TUCURUI,39.0
16,1,FURNAS,152.0
16,1,FURNAS,102.11698512000004
16,1,TUCURUI,0.0
16,1,TUCURUI,350.0
16,1,TUCURUI,39.0
17,1,FURNAS,15.2
17,1,FURNAS,15.2
17,1,TUCURUI,0.0
17,1,TUCURUI,350.0
17,1,TUCURUI,297.03107332499985
18,1,FURNAS,15.2
18,1,FURNAS,15.2
18,1,TUCURUI,2.25
18,1,TUCURUI,318.1436468630001
18,1,TUCURUI,390.0
19,1,FURNAS,15.2
19,1,FURNAS,15.2
19,1,TUCURUI,10.32438692900007
19,1,TUCURUI,350.0
19,1,TUCURUI,390.0
20,1,FURNAS,152.0
20,1,FURNAS,62.08116894
20,1,TUCURUI,22.5
20,1,TUCURUI,350.0
20,1,TUCURUI,39.0
21,1,FURNAS,152.0
21,1,FURNAS,31.137819530000115
21,1,TUCURUI,22.5
21,1,TUCURUI,350.0
21,1,TUCURUI,39.0
22,1,FURNAS,145.99039924032002
22,1,FURNAS,15.2
22,1,TUCURUI,22.5
22,1,TUCURUI,350.0
22,1,TUCURUI,172.77532619967997
23,1,FURNAS,15.2
23,1,FURNAS,152.0
23,1,TUCURUI,22.5
23,1,TUCURUI,321.9573974791999
23,1,TUCURUI,39.0
24,1,FURNAS,152.0
24,1,FURNAS,152.0
24,1,TUCURUI,22.5
24,1,TUCURUI,244.62223081000002
24,1,TUCURUI,39.0
25,1,FURNAS,152.0
25,1,FURNAS,152.0
25,1,TUCURUI,22.5
25,1,TUCURUI,225.16406655000003
25,1,TUCURUI,39.0
26,1,FURNAS,15.2
26,1,FURNAS,0.0
26,1,TUCURUI,22.5
26,1,TUCURUI,321.9573974791999
26,1,TUCURUI,39.0
27,1,FURNAS,152.0
27,1,FURNAS,0.0
27,1,TUCURUI,22.5
27,1,TUCURUI,299.77426361999994
27,1,TUCURUI,39.0
28,1,FURNAS,15.2
28,1,FURNAS,0.0
28,1,TUCURUI,22.5
28,1,TUCURUI,350.0
28,1,TUCURUI,0.0
29,1,FURNAS,15.2
29,1,FURNAS,0.0
29,1,TUCURUI,22.5
29,1,TUCURUI,350.0
29,1,TUCURUI,0.0
30,1,FURNAS,15.2
30,1,FURNAS,0.0
30,1,TUCURUI,22.5
30,1,TUCURUI,350.0
30,1,TUCURUI,0.0
31,1,FURNAS,15.2
31,1,FURNAS,15.2
31,1,TUCURUI,0.0
31,1,TUCURUI,350.0
31,1,TUCURUI,0.0
32,1,FURNAS,15.2
32,1,FURNAS,15.2
32,1,TUCURUI,0.0
32,1,TUCURUI,325.5133614399999
32,1,TUCURUI,0.0
33,1,FURNAS,15.2
33,1,FURNAS,15.2
33,1,TUCURUI,0.0
33,1,TUCURUI,295.72732042999996
33,1,TUCURUI,0.0
34,1,FURNAS,15.2
34,1,FURNAS,15.2
34,1,TUCURUI,0.0
34,1,TUCURUI,315.5289743499999
34,1,TUCURUI,0.0
35,1,FURNAS,15.2
35,1,FURNAS,15.2
35,1,TUCURUI,0.0
35,1,TUCURUI,350.0
35,1,TUCURUI,0.0
36,1,FURNAS,15.2
36,1,FURNAS,15.2
36,1,TUCURUI,22.5
36,1,TUCURUI,350.0
36,1,TUCURUI,0.0
37,1,FURNAS,152.0
37,1,FURNAS,119.63935118526666
37,1,TUCURUI,22.5
37,1,TUCURUI,0.0
37,1,TUCURUI,0.0
38,1,FURNAS,152.0
38,1,FURNAS,89.15178897999999
38,1,TUCURUI,22.5
38,1,TUCURUI,0.0
38,1,TUCURUI,0.0
39,1,FURNAS,152.0
39,1,FURNAS,101.90967655999998
39,1,TUCURUI,22.5
39,1,TUCURUI,0.0
39,1,TUCURUI,0.0
40,1,FURNAS,15.2
40,1,FURNAS,15.2
