periodo,submercado,nome,geracao,status,acionamento,desligamento
1,1,GT1,50.0,1.0,1.0,0.0
1,1,GT2,0.0,0.0,0.0,0.0
1,1,GT3,0.0,0.0,0.0,0.0
1,1,GT4,0.0,0.0,0.0,0.0
1,1,GT5,0.0,0.0,0.0,0.0
2,1,GT1,200.0,1.0,0.0,0.0
2,1,GT2,0.0,0.0,0.0,0.0
2,1,GT3,0.0,0.0,0.0,0.0
2,1,GT4,0.0,0.0,0.0,0.0
2,1,GT5,0.0,0.0,0.0,0.0
3,1,GT1,200.0,1.0,0.0,0.0
3,1,GT2,0.0,0.0,0.0,0.0
3,1,GT3,0.0,0.0,0.0,0.0
3,1,GT4,0.0,0.0,0.0,0.0
3,1,GT5,0.0,0.0,0.0,0.0
4,1,GT1,200.0,1.0,0.0,0.0
4,1,GT2,0.0,0.0,0.0,0.0
4,1,GT3,0.0,0.0,0.0,0.0
4,1,GT4,0.0,0.0,0.0,0.0
4,1,GT5,0.0,0.0,0.0,0.0
5,1,GT1,200.0,1.0,0.0,0.0
5,1,GT2,0.0,0.0,0.0,0.0
5,1,GT3,0.0,0.0,0.0,0.0
5,1,GT4,0.0,0.0,0.0,0.0
5,1,GT5,0.0,0.0,0.0,0.0
6,1,GT1,200.0,1.0,0.0,0.0
6,1,GT2,0.0,0.0,0.0,0.0
6,1,GT3,0.0,0.0,0.0,0.0
6,1,GT4,0.0,0.0,0.0,0.0
6,1,GT5,0.0,0.0,0.0,0.0
7,1,GT1,200.0,1.0,0.0,0.0
7,1,GT2,0.0,0.0,0.0,0.0
7,1,GT3,0.0,0.0,0.0,0.0
7,1,GT4,0.0,0.0,0.0,0.0
7,1,GT5,0.0,0.0,0.0,0.0
8,1,GT1,200.0,1.0,0.0,0.0
8,1,GT2,0.0,0.0,0.0,0.0
8,1,GT3,0.0,0.0,0.0,0.0
8,1,GT4,0.0,0.0,0.0,0.0
8,1,GT5,0.0,0.0,0.0,0.0
9,1,GT1,200.0,1.0,0.0,0.0
9,1,GT2,0.0,0.0,0.0,0.0
9,1,GT3,0.0,0.0,0.0,0.0
9,1,GT4,0.0,0.0,0.0,0.0
9,1,GT5,0.0,0.0,0.0,0.0
10,1,GT1,200.0,1.0,0.0,0.0
10,1,GT2,0.0,0.0,0.0,0.0
10,1,GT3,0.0,0.0,0.0,0.0
10,1,GT4,0.0,0.0,0.0,0.0
10,1,GT5,0.0,0.0,0.0,0.0
11,1,GT1,200.0,1.0,0.0,0.0
11,1,GT2,0.0,0.0,0.0,0.0
11,1,GT3,0.0,0.0,0.0,0.0
11,1,GT4,0.0,0.0,0.0,0.0
11,1,GT5,0.0,0.0,0.0,0.0
12,1,GT1,200.0,1.0,0.0,0.0
12,1,GT2,0.0,0.0,0.0,0.0
12,1,GT3,0.0,0.0,0.0,0.0
12,1,GT4,0.0,0.0,0.0,0.0
12,1,GT5,0.0,0.0,0.0,0.0
13,1,GT1,200.0,1.0,0.0,0.0
13,1,GT2,0.0,0.0,0.0,0.0
13,1,GT3,0.0,0.0,0.0,0.0
13,1,GT4,0.0,0.0,0.0,0.0
13,1,GT5,0.0,0.0,0.0,0.0
14,1,GT1,200.0,1.0,0.0,0.0
14,1,GT2,0.0,0.0,0.0,0.0
14,1,GT3,0.0,0.0,0.0,0.0
14,1,GT4,0.0,0.0,0.0,0.0
14,1,GT5,0.0,0.0,0.0,0.0
15,1,GT1,200.0,1.0,0.0,0.0
15,1,GT2,0.0,0.0,0.0,0.0
15,1,GT3,0.0,0.0,0.0,0.0
15,1,GT4,0.0,0.0,0.0,0.0
15,1,GT5,0.0,0.0,0.0,0.0
16,1,GT1,200.0,1.0,0.0,0.0
16,1,GT2,0.0,0.0,0.0,0.0
16,1,GT3,0.0,0.0,0.0,0.0
16,1,GT4,0.0,0.0,0.0,0.0
16,1,GT5,0.0,0.0,0.0,0.0
17,1,GT1,200.0,1.0,0.0,0.0
17,1,GT2,0.0,-0.0,0.0,0.0
17,1,GT3,0.0,0.0,0.0,0.0
17,1,GT4,0.0,0.0,0.0,0.0
17,1,GT5,0.0,0.0,0.0,0.0
18,1,GT1,200.0,1.0,0.0,0.0
18,1,GT2,10.0,1.0,1.0,0.0
18,1,GT3,0.0,0.0,0.0,0.0
18,1,GT4,0.0,0.0,0.0,0.0
18,1,GT5,0.0,0.0,0.0,0.0
19,1,GT1,200.0,1.0,0.0,0.0
19,1,GT2,50.0,1.0,0.0,0.0
19,1,GT3,0.0,0.0,0.0,0.0
19,1,GT4,0.0,0.0,0.0,0.0
19,1,GT5,0.0,0.0,0.0,0.0
20,1,GT1,200.0,1.0,0.0,0.0
20,1,GT2,200.0,1.0,0.0,0.0
20,1,GT3,0.0,0.0,0.0,0.0
20,1,GT4,0.0,0.0,0.0,0.0
20,1,GT5,0.0,0.0,0.0,0.0
21,1,GT1,200.0,1.0,0.0,0.0
21,1,GT2,200.0,1.0,0.0,0.0
21,1,GT3,0.0,0.0,0.0,0.0
21,1,GT4,0.0,0.0,0.0,0.0
21,1,GT5,0.0,0.0,0.0,0.0
22,1,GT1,200.0,1.0,0.0,0.0
22,1,GT2,50.0,1.0,0.0,0.0
22,1,GT3,0.0,0.0,0.0,0.0
22,1,GT4,0.0,0.0,0.0,0.0
22,1,GT5,0.0,0.0,0.0,0.0
23,1,GT1,200.0,1.0,0.0,0.0
23,1,GT2,155.5375221608001,1.0,0.0,0.0
23,1,GT3,0.0,0.0,0.0,0.0
23,1,GT4,0.0,0.0,0.0,0.0
23,1,GT5,0.0,0.0,0.0,0.0
24,1,GT1,200.0,1.0,0.0,0.0
24,1,GT2,50.0,1.0,0.0,0.0
24,1,GT3,0.0,0.0,0.0,0.0
24,1,GT4,0.0,0.0,0.0,0.0
24,1,GT5,0.0,0.0,0.0,0.0
25,1,GT1,200.0,1.0,0.0,0.0
25,1,GT2,50.0,1.0,0.0,0.0
25,1,GT3,0.0,0.0,0.0,0.0
25,1,GT4,0.0,0.0,0.0,0.0
25,1,GT5,0.0,0.0,0.0,0.0
26,1,GT1,200.0,1.0,0.0,0.0
26,1,GT2,197.29466347080006,1.0,0.0,0.0
26,1,GT3,0.0,0.0,0.0,0.0
26,1,GT4,0.0,0.0,0.0,0.0
