periodo,submercado,posto,nome,geracao
1,1,1,EOL1,66.42710321
1,1,2,EOL2,26.59456527
1,1,3,SOLAR,0.0
2,1,1,EOL1,67.10493082
2,1,2,EOL2,28.07561854
2,1,3,SOLAR,0.0
3,1,1,EOL1,65.41036184
3,1,2,EOL2,28.46198025
3,1,3,SOLAR,0.0
4,1,1,EOL1,63.37687909
4,1,2,EOL2,28.71955474
4,1,3,SOLAR,0.0
5,1,1,EOL1,63.37687909
5,1,2,EOL2,28.46198025
5,1,3,SOLAR,0.0
6,1,1,EOL1,64.05470669
6,1,2,EOL2,27.75365043
6,1,3,SOLAR,0.0
7,1,1,EOL1,63.37687909
7,1,2,EOL2,26.14380991
7,1,3,SOLAR,15.77643701
8,1,1,EOL1,60.32665496
8,1,2,EOL2,24.27639492
8,1,3,SOLAR,117.5183574
9,1,1,EOL1,54.9040343
9,1,2,EOL2,22.60216079
9,1,3,SOLAR,172.574903
10,1,1,EOL1,43.04205157
10,1,2,EOL2,19.44687339
10,1,3,SOLAR,180.3021374
11,1,1,EOL1,29.8244137
11,1,2,EOL2,14.35977737
11,1,3,SOLAR,178.6922969
12,1,1,EOL1,19.99591374
12,1,2,EOL2,10.17419204
12,1,3,SOLAR,176.116552
13,1,1,EOL1,14.57329306
13,1,2,EOL2,7.534053596
13,1,3,SOLAR,169.3552218
14,1,1,EOL1,11.86198273
14,1,2,EOL2,6.310574809
14,1,3,SOLAR,166.1355409
15,1,1,EOL1,11.52306893
15,1,2,EOL2,5.537851363
15,1,3,SOLAR,164.5257002
16,1,1,EOL1,13.55655168
16,1,2,EOL2,5.6666386
16,1,3,SOLAR,152.9348486
17,1,1,EOL1,23.72396544
17,1,2,EOL2,7.340872735
17,1,3,SOLAR,114.6206445
18,1,1,EOL1,44.05879294
18,1,2,EOL2,9.015106867
18,1,3,SOLAR,41.85585333
19,1,1,EOL1,63.03796531
19,1,2,EOL2,12.10600066
19,1,3,SOLAR,0.321968101
20,1,1,EOL1,72.1886377
20,1,2,EOL2,16.22719236
20,1,3,SOLAR,0.0
21,1,1,EOL1,72.1886377
21,1,2,EOL2,19.38247977
21,1,3,SOLAR,0.0
22,1,1,EOL1,71.8497239
22,1,2,EOL2,20.92792666
22,1,3,SOLAR,0.0
23,1,1,EOL1,71.8497239
23,1,2,EOL2,22.15140546
23,1,3,SOLAR,0.0
24,1,1,EOL1,71.17189632
24,1,2,EOL2,24.08321407
24,1,3,SOLAR,0.0
25,1,1,EOL1,68.79949978
25,1,2,EOL2,26.59456527
25,1,3,SOLAR,0.0
