periodo,nome,variavel,valor
0,FURNAS,volume armazenado,20950.0
0,TUCURUI,volume armazenado,48275.0
1,FURNAS,volume armazenado,21027.644328031234
1,TUCURUI,volume armazenado,47482.212432257125
2,FURNAS,volume armazenado,21186.590330035495
2,TUCURUI,volume armazenado,46906.8513542917
3,FURNAS,volume armazenado,21345.769708039756
3,TUCURUI,volume armazenado,46385.121411146436
4,FURNAS,volume armazenado,21504.895230044018
4,TUCURUI,volume armazenado,45884.70048950393
5,FURNAS,volume armazenado,21663.85918404828
5,TUCURUI,volume armazenado,45390.64336449149
6,FURNAS,volume armazenado,21822.051202052542
6,TUCURUI,volume armazenado,44883.30130450666
7,FURNAS,volume armazenado,21791.75453672408
7,TUCURUI,volume armazenado,44664.69805890656
8,FURNAS,volume armazenado,21797.27709672408
8,TUCURUI,volume armazenado,44491.31235135128
9,FURNAS,volume armazenado,21851.826335583668
9,TUCURUI,volume armazenado,44269.86930902598
10,FURNAS,volume armazenado,21858.08867185444
10,TUCURUI,volume armazenado,44048.15483250067
11,FURNAS,volume armazenado,21817.826894996862
11,TUCURUI,volume armazenado,43826.98322447537
12,FURNAS,volume armazenado,21742.033453110736
12,TUCURUI,volume armazenado,43605.88916905007
13,FURNAS,volume armazenado,21649.522483028853
13,TUCURUI,volume armazenado,43383.74815302477
14,FURNAS,volume armazenado,21553.79925843221
14,TUCURUI,volume armazenado,43159.55199199947
15,FURNAS,volume armazenado,21456.30042464027
15,TUCURUI,volume armazenado,42942.82067543873
16,FURNAS,volume armazenado,21350.460578580056
16,TUCURUI,volume armazenado,42717.31524493862
17,FURNAS,volume armazenado,21505.04424458432
17,TUCURUI,volume armazenado,42068.1386347965
18,FURNAS,volume armazenado,21659.77152658858
18,TUCURUI,volume armazenado,41315.50139540764
19,FURNAS,volume armazenado,21813.798680592845
19,TUCURUI,volume armazenado,40495.95607563992
20,FURNAS,volume armazenado,21753.630246377546
20,TUCURUI,volume armazenado,40231.39145127297
21,FURNAS,volume armazenado,21729.210650835907
21,TUCURUI,volume armazenado,39966.09007690602
22,FURNAS,volume armazenado,21730.119546835907
22,TUCURUI,volume armazenado,39481.11908237159
23,FURNAS,volume armazenado,21723.44484585935
23,TUCURUI,volume armazenado,39259.92145547159
24,FURNAS,volume armazenado,21556.391425901973
24,TUCURUI,volume armazenado,39163.59430419718
25,FURNAS,volume armazenado,21388.709685944596
25,TUCURUI,volume armazenado,39097.77721713304
26,FURNAS,volume armazenado,21557.413102946724
26,TUCURUI,volume armazenado,38872.46930033305
27,FURNAS,volume armazenado,21566.096840968035
